Accession,Status,Has_Results,SubmissionDate,Title,Is_Blood,Is_CellLine
PXD048815,Cell Line,Not Checked,2024-01-24,Proteomics analyses of small extracellular vesicles of aqueous humor: identification and validation of GAS6 and SPP1 as glaucoma markers during cataracts surgery,False,True
PXD048789,Cell Line,Not Checked,2024-01-23,Effect of 2D and 3D cell culture system on trophoblast extracellular vesicles physio-chemical characteristics and potency,False,True
PXD048511,Mixed/Unsure,False,2024-01-12,Proteomic analysis of serum small extracellular vesicles identifies diagnostic biomarkers for neuroblastoma,True,True
PXD048074,Mixed/Unsure,True,2023-12-22,Surface Proteome of Extracellular Vesicles and Correlation Analysis for Identification of Breast Cancer Biomarkers,True,True
PXD047857,Mixed/Unsure,True,2023-12-15,NEAT PLASMA PROTEOMICS: GETTING THE BEST OUT OF THE WORST,True,True
PXD047323,Cell Line,Not Checked,2023-11-28,Proteomic analysis of human platelet-derived extracellular vesicles generated via activation by different receptors,False,True
PXD047285,Mixed/Unsure,True,2023-11-27,Multiple myeloma derived extracellular vesicle uptake by monocyte cells stimulates secretion of IL-6 and MMP9 and promotes cancer cell migration and proliferation.,True,True
PXD047171,Cell Line,Not Checked,2023-11-22,Proteomic analysis of small extracellular vesicles derived from human iPSC,False,True
PXD047128,Cell Line,Not Checked,2023-11-21,Neat urine proteome during menstrual cycle,False,True
PXD047127,Cell Line,Not Checked,2023-11-21,Urine Extracellular Vesicles as a Non-Invasive Implantation Window Monitoring Method,False,True
PXD046906,Cell Line,Not Checked,2023-11-13,Trypanosoma cruzi interaction with host tissues modulate the composition of large extracellular vesicles,False,True
PXD046421,MaxQuant (Other),Not Checked,2023-10-26,Second-Hand Melanoma Melanosomes Regulate Diversity Among Tumor-Associated Macrophages,False,False
PXD046058,Mixed/Unsure,True,2023-10-11,Protein profiling of plasma extracellular vesicles from rheumatoid arthritis patients.,True,True
PXD045982,High Priority (Blood),False,2023-10-09,Proteomic profiling of cerebrospinal fluid for development of biomarker in medulloblastoma,True,False
PXD045471,MaxQuant (Other),Not Checked,2023-09-18,Human breast adipose tissue extracellular vesicles,False,False
PXD044784,MaxQuant (Other),Not Checked,2023-08-23,Comprehensive proteomic analysis of JC polyomavirus-infected human astrocytes and their extracellular vesicles,False,False
PXD044594,Mixed/Unsure,True,2023-08-15,Differential regulation of metabolome and proteome of plasma and CM EVs in HC,True,True
PXD044115,Mixed/Unsure,True,2023-07-26,Engineered immunomodulatory extracellular vesicles derived from epithelial cells acquire capacity for positive and negative T cell co-stimulation in cancer and autoimmunity.,True,True
PXD044045,Cell Line,Not Checked,2023-07-24,Proteomic characterization of extracellular vesicles (EVs) released by primary human vascular smooth muscle cells (VSMCs) under calcification stress,False,True
PXD043796,MaxQuant (Other),Not Checked,2023-07-14,Analysis of small EV proteomes reveals unique functional protein networks regulated by VAP-A,False,False
PXD043335,High Priority (Blood),False,2023-06-27,Osteogenic human MSC-derived extracellular vesicles regulate MSC activity and osteogenic differentiation and promote bone regeneration in a rat calvarial defect model,True,False
PXD042510,Mixed/Unsure,True,2023-05-26,Ergolide Mediates Anti-Cancer Effects on Metastatic Uveal Extra Cellular Vesicles: Melanoma Cells and Modulates  their Cell Lysate and Extracellular Vesicle proteomes.,True,True
PXD042498,Cell Line,Not Checked,2023-05-25,Total Proteome: Ergolide Mediates Anti-Cancer Effects on Metastatic Uveal Melanoma Cells and Modulates their Cell Lysate and Extracellular Vesicle proteomes.,False,True
PXD042168,Cell Line,Not Checked,2023-05-12,Epigenetic Impairment of tumor potential of AML-derived extracellular vesicles,False,True
PXD041751,MaxQuant (Other),Not Checked,2023-04-23,Mass spectrometry analysis of extracellular vesicles from malignant ascites in ovarian cancer patients,False,False
PXD040516,Cell Line,Not Checked,2023-03-01,Small Extracellular Vesicles derived from four dimensional-culture of mesenchymal stem cells induce alternatively activated macrophages by upregulating IGFBP2/EGFR to attenuate inflammation in the spinal cord injury of rats,False,True
PXD040311,Cell Line,Not Checked,2023-02-21,SECRETORY PROTEOMIC RESPONSES OF ENDOMETRIAL EPITHELIAL CELLS TO TROPHOBLAST DERIVED  EXTRACELLULAR VESICLES,False,True
