miRNA,ERR5922419,ERR5922420,ERR5922421,ERR5922422,ERR5922423,ERR5922424,ERR5922425,ERR5922426,ERR5922427,ERR5922428
hsa-miR-4638-5p,0.22,0.27,0.0,0.0,0.0,0.93,0.83,0.28,0.0,0.37
hsa-miR-4639-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
hsa-miR-4639-5p,0.22,0.09,0.0,0.0,0.1,0.59,0.75,0.57,0.26,0.25
hsa-miR-4640-3p,0.22,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.37
hsa-miR-4640-5p,0.0,0.0,0.0,0.0,0.0,0.17,0.08,0.0,0.0,0.12
hsa-miR-4642,0.0,0.0,0.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0
hsa-miR-4644,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.13,0.0
hsa-miR-4645-3p,0.33,0.46,0.39,0.35,0.6,1.18,0.83,1.57,2.08,0.5
hsa-miR-4645-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.13,0.0
hsa-miR-4646-5p,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4647,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4649-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.43,0.0,0.0
hsa-miR-4649-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-4650-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4652-5p,0.43,0.46,0.19,0.35,0.5,0.5,2.08,0.43,1.17,1.12
hsa-miR-4653-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4655-5p,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-4658,0.0,0.09,0.0,0.0,0.0,0.25,0.08,0.0,0.0,0.0
hsa-miR-4659a-3p,0.33,0.55,0.97,0.59,0.8,0.93,1.08,0.14,0.13,0.5
hsa-miR-4659b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.0,0.0
hsa-miR-4659b-5p,0.0,0.0,0.0,0.12,0.0,0.17,0.0,0.0,0.0,0.0
hsa-miR-466,0.22,0.0,0.0,0.12,0.6,0.17,0.17,0.14,0.26,0.5
hsa-miR-4660,0.43,0.18,0.48,0.12,0.3,0.59,2.83,1.28,0.52,1.61
hsa-miR-4661-3p,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.14,0.0,0.0
