miRNA,GSM3151945,GSM3151946,GSM3151947,GSM3151948,GSM3151949,GSM3151950,GSM3151951,GSM3151952,GSM3151953,GSM3151954,GSM3151955,GSM3151956,GSM3151957,GSM3151958,GSM3151959,GSM3151960,GSM3151961,GSM3151962,GSM3151963,GSM3151964,GSM3151965,GSM3151966,GSM3151967,GSM3151968,GSM3151969,GSM3151970,GSM3151971,GSM3151972
hsa-miR-1238-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1238-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,0.0,0.0,0.0,0.0,0.28,0.12,0.07,0.36,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.35,0.0,0.0,15.98,0.0,0.0
hsa-miR-1247-5p,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,0.0,0.0,0.0,0.12,0.08,0.07,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.08,0.1,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.12,0.24,0.36,0.22,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.19,0.59,0.1,0.09,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.04,0.04,0.36,0.14,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.34,0.0,0.09,0.62,0.0,0.0,0.0,0.0
hsa-miR-1256,0.0,0.0,0.0,0.0,0.04,0.0,0.21,0.07,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.35,0.06,0.0,0.1,0.17,0.1,0.0,0.0,0.0,0.0
