miRNA,GSM2442624,GSM2442625,GSM2442626,GSM2442627,GSM2442628,GSM2442629,GSM2442630,GSM2442631,GSM2442632,GSM2442633
hsa-miR-4284,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4286,0.17,0.36,0.49,0.79,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-429,0.0,0.18,0.73,0.11,0.0,0.0,0.0,0.0,9.8,0.0
hsa-miR-431-3p,0.0,0.0,0.0,0.11,6.68,0.0,6.38,3.26,3.27,6.76
hsa-miR-431-5p,0.0,1.07,0.37,0.22,0.0,16.72,22.32,6.52,16.33,6.76
hsa-miR-432-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-432-5p,0.0,0.0,0.12,0.0,6.68,0.0,15.95,3.26,3.27,6.76
hsa-miR-4326,0.0,0.0,0.49,0.56,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-433-3p,0.0,0.0,0.0,0.22,0.0,4.18,0.0,6.52,6.53,0.0
hsa-miR-4426,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4430,0.51,0.53,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433b-5p,0.0,0.0,0.0,0.0,0.0,0.0,89.3,6.52,58.78,0.0
hsa-miR-4435,0.0,0.0,0.12,0.11,0.0,0.0,3.19,0.0,0.0,0.0
hsa-miR-4443,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4444,0.0,0.36,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4446-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,13.06,0.0
hsa-miR-4449,0.85,0.53,0.37,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4454,0.51,0.18,0.61,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4466,0.34,0.89,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4472,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4479,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
