miRNA,SRR24055586,SRR24055587,SRR24055588,SRR24055589,SRR24055590,SRR24055591,SRR24055592,SRR24055593,SRR24055594,SRR24055595,SRR24055596,SRR24055597,SRR24055598,SRR24055599,SRR24055600,SRR24055601,SRR24055602,SRR24055603,SRR24055604,SRR24055605
hsa-miR-1273c,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-3p,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-5p,1.0,9.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
hsa-miR-1275,6.0,0.0,1.0,4.0,20.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,8.0,0.0,4.0,0.0,10.0,7.0,7.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,4.0,105.0,25.0,34.0,93.0,170.0,127.0,93.0,55.0,48.0,257.0,59.0,64.0,124.0,98.0,90.0,99.0,123.0,83.0,107.0
hsa-miR-1285-3p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-1288-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
hsa-miR-129-5p,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,3.0,2.0,3.0,10.0,7.0,0.0,1.0
hsa-miR-1291,4.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,15.0
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1294,0.0,0.0,1.0,0.0,0.0,9.0,2.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-1298-5p,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0
hsa-miR-1301-3p,3.0,6.0,6.0,0.0,1.0,4.0,3.0,8.0,4.0,2.0,13.0,0.0,0.0,12.0,3.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,0.0,3.0,1.0,0.0,0.0,10.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,7.0
hsa-miR-1307-3p,8.0,72.0,23.0,3.0,14.0,146.0,114.0,255.0,68.0,69.0,175.0,13.0,11.0,30.0,10.0,43.0,5.0,18.0,25.0,83.0
hsa-miR-1307-5p,1.0,7.0,6.0,0.0,5.0,7.0,1.0,7.0,1.0,5.0,10.0,0.0,5.0,8.0,6.0,1.0,0.0,2.0,0.0,8.0
hsa-miR-130a-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0
hsa-miR-130b-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-5p,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
