miRNA,SRR22777518,SRR22777519,SRR22777520,SRR22777521,SRR22777522,SRR22777523,SRR22777524,SRR22777525,SRR22777526,SRR22777527,SRR22777528,SRR22777529,SRR22777530,SRR22777531,SRR22777532,SRR22777533,SRR22777534,SRR22777535,SRR22777536,SRR22777537,SRR22777538,SRR22777539,SRR22777540,SRR22777541,SRR22777542,SRR22777543,SRR22777544,SRR22777545,SRR22777546
hsa-miR-1276,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.22,0.44,0.14,0.2,0.0,0.0,0.24,0.59,0.19,0.07,0.09,0.0,0.0,0.0,0.35,0.0,0.34,0.06,0.93,1.81,0.15,0.0,0.0,0.2,0.11,0.0,0.41,0.0,0.0
hsa-miR-1277-5p,0.0,0.06,0.0,0.0,0.36,0.19,0.08,0.0,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1278,0.18,0.61,0.0,0.07,0.36,0.0,0.0,0.15,0.81,0.82,0.27,0.0,0.0,0.0,0.0,0.0,0.17,0.38,0.0,0.0,0.0,0.0,0.0,0.2,1.21,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.92,4.13,2.04,1.9,3.06,0.74,1.53,2.44,1.62,2.31,1.97,2.52,1.95,2.02,3.23,6.08,5.8,4.83,3.41,1.06,3.38,5.05,0.0,2.66,2.42,1.65,2.15,3.35,3.88
hsa-miR-128-3p,33.25,215.09,106.32,58.51,166.33,99.79,60.79,109.56,203.15,75.59,71.03,58.79,80.56,35.96,39.91,122.44,66.98,106.09,424.09,88.7,64.81,129.78,43.96,155.77,150.73,56.0,93.32,50.63,136.56
hsa-miR-1283,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1284,0.0,0.06,0.14,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,0.15,0.28,0.49,0.41,0.8,0.0,0.24,0.44,0.31,0.61,0.36,1.08,2.8,0.0,0.17,3.47,0.17,0.38,2.94,2.87,0.08,1.42,5.05,0.41,3.08,4.53,1.13,2.74,0.46
hsa-miR-1285-5p,0.15,0.39,0.28,0.68,0.07,0.0,0.16,0.07,0.12,0.0,0.09,1.08,0.39,5.25,0.61,0.0,0.67,0.19,0.77,0.0,0.0,0.47,5.86,0.41,1.21,0.62,0.31,0.0,0.15
hsa-miR-1286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.08,0.09,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-1287-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,4.43,22.24,14.1,13.76,22.64,14.07,6.44,10.3,21.9,9.38,9.03,2.16,16.35,2.83,11.35,17.12,11.09,18.83,12.7,7.09,7.14,19.31,0.0,7.17,5.17,2.68,6.56,11.18,8.97
hsa-miR-1288-3p,0.04,0.33,0.07,0.07,0.15,0.0,0.08,0.3,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.51,1.55,0.0,0.0,0.0,0.0,0.31,0.55,0.0,0.0,0.1,0.15
hsa-miR-1288-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1289,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.06,0.0,0.0,0.08,0.14,0.0,0.41,0.0,0.41,0.61,0.61,0.23
hsa-miR-129-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,0.04,0.11,0.0,0.07,0.36,0.0,0.08,0.0,0.0,0.07,0.0,0.0,0.46,0.0,0.09,0.74,0.0,0.06,0.31,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.41,0.0,0.08
