miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-miR-219b-3p,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.12,0.25,0.0
hsa-miR-219b-5p,0.0,0.0,0.0,1.34,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,2.24,0.0,0.0,0.28,1.08,0.0,0.0,0.0
hsa-miR-22-3p,0.32,1339.37,0.64,494.94,7.74,4.91,339.27,7.33,3.26,377.45,14.98,2.5,8.78,3.75,0.0,534.44,1401.76,2.76,4.89,399.55,556.67,520.78,1103.11,4.59
hsa-miR-22-5p,0.0,48.91,0.0,10.42,0.32,0.0,5.61,0.0,0.0,10.36,0.0,0.0,0.27,0.37,0.0,18.96,54.24,0.0,0.0,11.45,14.21,16.58,26.04,0.0
hsa-miR-221-3p,1.28,845.78,2.87,204.41,2.26,0.85,121.76,1.22,0.47,143.82,0.97,1.93,0.0,0.75,0.0,14.37,52.6,0.0,0.0,25.92,19.93,8.29,27.38,0.0
hsa-miR-221-5p,0.0,3.7,0.0,1.22,0.0,0.0,0.82,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.04,0.45,0.06,0.17,0.0
hsa-miR-222-3p,0.0,126.13,0.0,29.56,1.29,0.21,25.67,3.42,0.0,22.25,4.35,1.35,0.0,0.0,0.0,2.86,8.47,0.0,0.0,4.46,5.1,1.94,3.1,0.0
hsa-miR-222-5p,0.0,2.2,0.0,1.16,0.0,0.0,0.68,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.06,0.24,0.0,0.0,0.16,0.4,0.0,0.25,0.0
hsa-miR-223-3p,0.0,3.99,0.0,6.09,8.06,7.9,3.97,10.01,6.52,2.09,45.41,4.04,0.0,0.0,1.25,2.44,6.3,1.07,0.0,0.6,3.06,2.3,6.53,2.29
hsa-miR-223-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.04,0.0,0.0,0.0,0.0
hsa-miR-224-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.48,0.29,0.0,0.0,0.12,0.0,0.0,0.25,0.0
