miRNA,SRR17237638,SRR17237639,SRR17237640,SRR17237641,SRR17237642,SRR17237643,SRR17237644,SRR17237645,SRR17237646,SRR17237647,SRR17237648,SRR17237649,SRR17237650,SRR17237651,SRR17237652,SRR17237653,SRR17237654,SRR17237655,SRR17237656,SRR17237657,SRR17237658,SRR17237659,SRR17237660,SRR17237661,SRR17237662,SRR17237663,SRR17237664,SRR17237665
hsa-miR-136-3p,5.0,2.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,5.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0
hsa-miR-136-5p,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-137-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,15.0,1.0,8.0
hsa-miR-137-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
hsa-miR-138-1-3p,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-138-5p,10.0,13.0,6.0,7.0,2.0,88.0,3.0,7.0,9.0,11.0,10.0,3.0,0.0,6.0,20.0,5.0,0.0,14.0,12.0,34.0,3.0,15.0,13.0,15.0,18.0,19.0,0.0,32.0
hsa-miR-139-3p,0.0,1.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-5p,10.0,9.0,34.0,7.0,9.0,3.0,17.0,7.0,4.0,21.0,13.0,4.0,8.0,3.0,6.0,1.0,17.0,8.0,8.0,4.0,5.0,1.0,1.0,0.0,2.0,4.0,6.0,6.0
hsa-miR-140-3p,531.0,360.0,272.0,245.0,124.0,337.0,257.0,200.0,220.0,294.0,288.0,130.0,326.0,121.0,611.0,176.0,660.0,317.0,200.0,315.0,412.0,268.0,192.0,237.0,329.0,608.0,410.0,482.0
hsa-miR-140-5p,97.0,35.0,39.0,30.0,14.0,5.0,34.0,13.0,17.0,47.0,76.0,11.0,12.0,11.0,82.0,7.0,46.0,25.0,16.0,46.0,21.0,22.0,18.0,23.0,29.0,81.0,53.0,70.0
hsa-miR-141-3p,451.0,92.0,140.0,100.0,45.0,42.0,180.0,41.0,43.0,113.0,178.0,32.0,72.0,33.0,256.0,55.0,187.0,49.0,89.0,108.0,172.0,37.0,28.0,54.0,56.0,293.0,371.0,325.0
hsa-miR-141-5p,16.0,11.0,7.0,10.0,3.0,6.0,8.0,3.0,4.0,6.0,6.0,3.0,2.0,2.0,13.0,7.0,6.0,6.0,3.0,10.0,12.0,5.0,4.0,6.0,5.0,14.0,9.0,7.0
hsa-miR-142-3p,32.0,7.0,20.0,12.0,15.0,6.0,28.0,2.0,5.0,11.0,12.0,6.0,5.0,3.0,7.0,1.0,16.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,0.0,4.0,1.0,2.0
hsa-miR-142-5p,84.0,27.0,60.0,80.0,31.0,4.0,63.0,10.0,18.0,81.0,23.0,6.0,15.0,7.0,11.0,2.0,52.0,36.0,21.0,10.0,11.0,5.0,7.0,0.0,10.0,8.0,14.0,12.0
hsa-miR-143-3p,388.0,144.0,422.0,117.0,134.0,70.0,232.0,62.0,44.0,151.0,152.0,43.0,54.0,99.0,259.0,23.0,369.0,74.0,46.0,29.0,71.0,42.0,50.0,18.0,70.0,74.0,87.0,307.0
