miRNA,ERR5319140,ERR5319141,ERR5319142,ERR5319143
hsa-miR-516a-3p,0.0,0.0,1.0,0.0
hsa-miR-516a-5p,35.0,46.0,75.0,0.0
hsa-miR-516b-5p,41.0,63.0,76.0,1.0
hsa-miR-517-5p,0.0,1.0,0.0,0.0
hsa-miR-517a-3p,78.0,62.0,2.0,0.0
hsa-miR-517b-3p,1.0,7.0,132.0,0.0
hsa-miR-517c-3p,4.0,11.0,9.0,0.0
hsa-miR-518a-3p,0.0,1.0,3.0,0.0
hsa-miR-518c-3p,9.0,5.0,10.0,0.0
hsa-miR-518c-5p,1.0,3.0,1.0,0.0
hsa-miR-518d-5p,0.0,2.0,0.0,0.0
