miRNA,SRR12327175,SRR12327176,SRR12327177,SRR12327178,SRR12327179,SRR12327180,SRR12327181,SRR12327182,SRR12327183,SRR12327184,SRR12327185,SRR12327186,SRR12327187,SRR12327188,SRR12327189,SRR12327190
hsa-miR-378a-5p,9.74,5.8,5.84,4.43,4.91,2.95,1.62,1.15,2.02,1.94,1.48,0.61,0.53,0.3,2.05,0.22
hsa-miR-378b,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378c,88.52,51.84,65.6,34.66,9.32,44.16,10.08,9.24,4.76,7.04,1.48,1.58,1.84,5.83,4.97,3.01
hsa-miR-378d,6.49,1.81,24.95,3.32,12.51,15.5,6.14,7.06,3.46,7.22,2.31,0.24,1.71,0.2,1.73,1.23
hsa-miR-378e,1.48,0.64,0.73,0.66,0.37,0.61,0.0,0.51,0.14,0.0,0.25,0.49,0.0,0.0,0.0,0.0
hsa-miR-378f,0.59,0.13,0.24,0.22,0.12,0.25,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378h,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378i,0.0,0.26,0.37,0.33,0.25,0.25,0.12,0.0,0.14,0.0,0.0,0.0,0.26,0.0,0.0,0.0
hsa-miR-379-3p,0.89,0.77,2.56,2.99,3.44,0.74,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.11
hsa-miR-379-5p,26.26,26.44,139.6,146.82,112.38,80.44,19.35,0.26,0.14,0.0,0.08,0.0,0.0,0.0,50.77,12.17
hsa-miR-380-3p,0.3,0.26,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-380-5p,0.89,0.0,0.37,0.55,0.74,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-381-3p,125.4,190.08,324.71,355.43,247.46,699.13,90.86,6.29,0.29,0.18,0.0,0.0,0.0,0.0,150.16,33.71
hsa-miR-382-3p,5.31,7.48,3.41,5.54,8.34,2.58,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59,1.0
hsa-miR-382-5p,46.32,91.04,66.82,85.15,226.85,51.29,22.72,1.92,0.0,0.0,0.0,0.0,0.0,0.0,87.5,13.51
hsa-miR-3907,0.0,0.0,0.0,0.11,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3909,5.61,1.68,2.68,2.33,1.35,2.46,2.67,2.44,0.29,0.0,0.33,0.24,0.53,0.1,1.62,0.45
hsa-miR-3910,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3911,0.3,0.13,0.61,0.22,0.25,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
hsa-miR-3912-3p,4.43,1.81,1.7,2.21,0.98,0.98,0.7,1.54,0.14,0.35,0.0,0.36,0.13,0.2,1.84,0.67
hsa-miR-3913-5p,1.77,0.52,2.8,2.66,0.86,11.44,7.76,2.31,0.14,0.53,0.08,0.12,0.0,0.5,2.59,1.9
hsa-miR-3916,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.13,0.1,0.0,0.0
hsa-miR-3917,0.3,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.13,0.0,0.22,0.0
hsa-miR-3918,0.3,0.26,0.49,0.0,0.0,0.98,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3920,0.0,0.77,1.22,0.89,0.25,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.67
hsa-miR-3922-3p,2.95,0.13,4.14,1.11,0.61,1.84,2.09,0.64,0.0,0.0,0.0,0.0,0.13,0.0,0.54,0.11
hsa-miR-3925-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3925-5p,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.14,0.0,0.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-3928-3p,2.66,1.81,2.56,2.55,1.72,4.67,1.16,1.41,0.0,0.35,0.49,0.24,0.39,0.3,0.76,0.78
hsa-miR-3929,1.18,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.1,0.0,0.0
hsa-miR-3934-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3934-5p,1.18,0.13,0.73,1.11,0.25,0.25,0.58,0.64,1.01,0.7,0.16,0.97,0.53,0.6,0.43,0.0
hsa-miR-3935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.13,0.5,0.0,0.0
hsa-miR-3936,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3938,0.0,0.0,0.0,0.11,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3939,0.3,0.26,0.49,0.89,0.37,0.25,0.35,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.11
hsa-miR-3940-3p,1.77,0.64,0.12,1.44,0.0,0.74,0.23,0.9,0.0,0.35,0.0,0.0,0.0,0.0,0.43,0.0
hsa-miR-3940-5p,0.3,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3942-3p,0.0,0.0,0.37,0.11,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3942-5p,1.18,0.26,0.12,0.22,0.0,0.25,0.81,0.26,0.29,0.0,0.0,0.12,0.0,0.0,0.0,0.22
hsa-miR-3944-3p,0.3,0.13,0.12,0.11,0.0,0.61,0.12,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3944-5p,0.59,0.26,0.49,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3960,0.3,0.39,2.56,0.89,0.12,0.25,0.12,0.26,28.55,26.07,25.44,66.06,71.18,92.63,0.0,0.0
hsa-miR-409-3p,346.99,650.58,349.66,582.64,987.01,1061.98,152.05,19.88,0.0,0.0,0.0,0.12,0.0,0.1,416.98,127.02
hsa-miR-409-5p,2.66,2.06,2.8,1.88,7.85,1.48,0.58,0.26,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.56
hsa-miR-410-3p,10.03,13.93,7.3,12.51,24.91,2.71,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.11
hsa-miR-410-5p,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-411-3p,2.66,1.93,16.07,17.38,9.57,4.18,1.27,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.43,0.33
hsa-miR-411-5p,11.21,12.25,55.01,54.92,37.17,13.78,9.27,0.26,0.14,0.18,0.0,0.0,0.0,0.0,11.23,0.89
hsa-miR-412-3p,0.3,0.0,0.0,0.33,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-412-5p,1.48,1.93,1.95,2.21,2.94,2.46,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.56
hsa-miR-421,20.06,16.89,22.64,29.79,13.0,6.64,3.48,3.08,2.88,3.7,1.23,2.67,2.76,3.22,6.27,0.33
hsa-miR-423-3p,3913.68,4208.72,3251.71,1454.17,719.68,6796.36,479.92,619.61,259.23,249.74,43.22,16.03,29.47,79.76,335.2,352.15
hsa-miR-423-5p,5564.55,4509.96,591.49,2009.8,1468.68,10851.67,146.03,393.32,88.38,14.09,48.08,9.96,3.16,10.46,2925.43,26.01
hsa-miR-424-3p,95.3,76.47,91.04,98.44,50.42,109.1,138.61,110.07,6.78,5.81,2.47,0.73,1.84,1.21,76.91,20.98
hsa-miR-424-5p,8.26,4.13,12.05,11.18,4.91,1.6,1.51,0.64,6.2,6.87,2.96,5.95,10.26,7.34,0.86,0.33
hsa-miR-425-3p,50.46,25.92,64.75,55.14,40.12,25.71,18.89,13.21,6.92,5.28,3.05,5.34,9.47,7.95,29.81,5.13
hsa-miR-425-5p,835.61,563.92,866.66,870.31,813.04,783.39,353.6,329.05,28.69,27.47,16.14,32.91,35.39,38.72,1012.85,217.54
hsa-miR-4284,0.0,0.0,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4286,0.0,0.39,0.61,0.44,0.0,0.0,0.35,0.13,1.01,0.7,0.74,0.49,0.66,0.5,0.11,0.11
