miRNA,ERR5319140,ERR5319141,ERR5319142,ERR5319143
hsa-miR-342-3p,0.32,0.16,5.02,6.35
hsa-miR-342-5p,0.0,0.0,13.63,6.35
hsa-miR-345-5p,0.64,0.32,15.78,7.26
hsa-miR-34a-5p,0.0,0.32,2.15,8.17
hsa-miR-34b-3p,0.0,0.0,0.0,3.63
hsa-miR-34c-5p,0.64,0.32,63.82,43.56
hsa-miR-3605-5p,0.0,0.16,15.06,3.63
hsa-miR-361-3p,5.11,0.95,53.07,51.73
hsa-miR-361-5p,1.28,0.0,3.59,9.98
hsa-miR-3613-3p,0.0,0.16,0.0,0.0
hsa-miR-3613-5p,0.0,0.0,0.72,0.91
hsa-miR-3615,2.88,0.48,21.51,13.61
hsa-miR-3617-5p,0.0,0.0,5.02,0.0
hsa-miR-362-5p,0.64,0.16,0.72,0.0
hsa-miR-363-3p,0.96,0.48,0.72,3.63
hsa-miR-3648,0.32,0.8,0.0,1.82
hsa-miR-3652,0.0,0.0,0.0,1.82
hsa-miR-365a-3p,0.0,0.0,0.72,2.72
hsa-miR-365a-5p,2.24,0.48,5.02,5.45
hsa-miR-365b-3p,0.32,0.0,0.0,3.63
hsa-miR-365b-5p,0.0,0.16,7.89,10.89
hsa-miR-3661,1.28,0.0,1.43,0.0
hsa-miR-3665,8.63,4.93,0.0,1.82
hsa-miR-3679-5p,0.0,0.0,0.0,13.61
hsa-miR-3681-5p,0.0,0.0,10.04,2.72
hsa-miR-3689a-5p,0.0,0.0,0.72,7.26
hsa-miR-3689b-3p,0.0,0.0,0.0,0.91
hsa-miR-3689b-5p,0.0,0.0,7.89,4.54
hsa-miR-3689e,0.0,0.0,1.43,2.72
hsa-miR-3689f,0.0,0.0,8.61,28.13
hsa-miR-369-3p,1.6,2.23,0.0,0.0
hsa-miR-369-5p,0.96,0.0,1.43,0.91
hsa-miR-3691-5p,0.0,0.0,0.0,1.82
hsa-miR-370-3p,1.28,0.48,0.0,0.0
hsa-miR-370-5p,0.0,0.0,0.72,0.0
hsa-miR-372-3p,0.32,0.32,2.15,0.0
hsa-miR-374a-3p,1.28,1.91,10.76,2.72
hsa-miR-374a-5p,0.64,1.11,7.17,6.35
hsa-miR-374b-3p,0.0,0.32,0.0,0.0
hsa-miR-374b-5p,0.32,0.48,0.0,1.82
hsa-miR-375-3p,0.0,0.16,0.72,0.91
hsa-miR-376a-3p,0.32,0.16,0.0,0.0
hsa-miR-376b-5p,0.0,0.0,0.72,0.0
hsa-miR-376c-3p,0.0,0.32,0.72,0.0
hsa-miR-378a-3p,93.02,56.31,359.99,204.19
hsa-miR-378a-5p,0.0,0.16,0.0,0.91
hsa-miR-378c,5.11,1.59,0.72,10.89
hsa-miR-378d,7.03,3.02,0.0,3.63
hsa-miR-378e,0.96,0.0,0.0,0.0
hsa-miR-379-5p,5.75,2.07,8.61,59.9
hsa-miR-380-5p,0.0,0.0,0.0,0.91
hsa-miR-381-3p,22.37,10.18,38.01,5.45
hsa-miR-382-3p,0.64,0.64,2.87,1.82
hsa-miR-382-5p,3.52,0.48,2.15,0.91
hsa-miR-383-5p,0.0,0.0,0.0,0.91
hsa-miR-3909,0.0,0.0,2.87,0.0
hsa-miR-3911,0.32,0.0,0.72,0.0
hsa-miR-3913-5p,0.64,0.0,0.0,0.0
hsa-miR-3916,0.0,0.0,0.72,0.0
hsa-miR-3918,0.0,0.0,0.72,0.0
hsa-miR-3928-3p,0.0,0.0,2.87,0.91
hsa-miR-3929,1.6,0.16,0.0,0.91
hsa-miR-3934-5p,1.6,0.0,0.72,3.63
hsa-miR-3939,0.0,0.0,0.0,1.82
hsa-miR-3940-3p,0.32,0.0,0.0,0.0
hsa-miR-3960,1.6,1.11,0.0,3.63
hsa-miR-409-3p,2.24,0.32,1.43,5.45
hsa-miR-409-5p,0.0,0.48,0.0,0.0
hsa-miR-410-3p,0.32,0.0,0.0,0.91
hsa-miR-411-3p,0.32,0.0,0.0,0.91
hsa-miR-411-5p,4.47,1.27,1.43,16.34
hsa-miR-412-5p,13.11,3.18,0.0,0.0
hsa-miR-421,0.32,0.0,1.43,1.82
hsa-miR-423-3p,32.92,11.45,425.25,63.53
hsa-miR-423-5p,140.96,29.11,1533.19,2529.26
hsa-miR-424-3p,2.56,0.8,38.01,39.02
hsa-miR-424-5p,0.64,0.32,3.59,0.91
hsa-miR-425-3p,1.28,0.8,5.02,5.45
hsa-miR-425-5p,4.79,1.91,30.84,24.5
hsa-miR-4286,0.0,0.0,0.72,0.0
hsa-miR-429,3.52,1.27,17.93,16.34
hsa-miR-431-5p,0.64,0.0,1.43,0.91
hsa-miR-432-5p,2.56,0.32,0.0,0.0
hsa-miR-4326,0.96,0.16,28.68,5.45
hsa-miR-433-3p,0.32,0.0,0.0,0.91
hsa-miR-433-5p,0.0,0.0,0.0,0.91
hsa-miR-4436b-3p,0.32,0.0,0.0,0.0
hsa-miR-4466,0.96,0.0,2.15,0.0
hsa-miR-4472,0.0,0.0,0.72,0.0
hsa-miR-4473,0.64,0.0,2.15,3.63
hsa-miR-4485-3p,0.0,0.0,0.72,1.82
hsa-miR-4488,54.66,17.5,7.17,69.88
hsa-miR-4489,0.0,0.0,0.0,0.91
hsa-miR-4492,0.0,0.0,0.0,0.91
hsa-miR-4497,3.84,1.43,0.72,0.91
hsa-miR-449a,0.0,0.0,0.72,0.0
hsa-miR-449c-5p,0.0,0.0,1.43,0.0
hsa-miR-4504,0.0,0.0,0.0,0.91
hsa-miR-4508,0.0,0.16,0.0,10.89
hsa-miR-450a-2-3p,0.0,0.0,1.43,0.0
hsa-miR-450a-5p,1.6,0.64,4.3,4.54
