miRNA,SRR12463645,SRR12463646,SRR12463647,SRR12463648,SRR12463649,SRR12463650,SRR12463651,SRR12463652,SRR12463653,SRR12463654,SRR12463655,SRR12463656,SRR12463657,SRR12463658,SRR12463659
hsa-miR-193a-5p,0.0,8.73,6.92,0.0,1.26,6.46,0.0,2.59,3.04,0.0,2.05,0.54,0.0,0.45,0.0
hsa-miR-193b-3p,0.0,2.62,0.0,0.0,3.15,0.0,0.0,0.86,0.0,2.23,1.71,3.25,0.0,0.0,0.0
hsa-miR-193b-5p,18.47,6.98,10.38,0.0,0.63,0.0,0.0,0.86,3.04,2.23,0.34,0.54,0.0,0.0,0.0
hsa-miR-194-3p,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-195-3p,0.0,0.0,0.0,0.0,2.52,3.23,15.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196a-5p,0.0,0.87,0.0,0.0,1.26,0.0,0.0,3.46,1.52,0.0,0.0,0.0,0.0,0.45,0.0
hsa-miR-196b-5p,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-197-3p,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-197-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,55.41,3.49,0.0,0.0,0.0,0.0,0.0,8.65,18.21,0.0,0.68,1.08,0.0,0.45,0.0
hsa-miR-199a-5p,36.94,1.75,3.46,0.0,0.63,0.0,15.64,37.19,25.8,2.23,1.03,2.17,0.0,0.0,0.0
hsa-miR-199b-3p,55.41,0.87,0.0,0.0,1.26,3.23,0.0,0.86,19.73,0.0,1.03,1.08,0.0,1.82,0.0
hsa-miR-199b-5p,18.47,0.0,0.0,3.77,0.0,0.0,0.0,1.73,7.59,0.0,0.0,1.08,0.0,0.0,0.0
hsa-miR-19a-3p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-200a-3p,0.0,9.6,13.84,3.77,8.19,6.46,0.0,0.0,0.0,0.0,4.11,1.08,0.0,0.0,0.0
hsa-miR-200a-5p,0.0,14.84,31.13,7.53,5.04,16.15,0.0,0.0,0.0,2.23,2.4,7.58,0.0,0.0,0.48
hsa-miR-200b-3p,0.0,56.74,93.39,30.13,27.09,22.61,0.0,0.0,1.52,2.23,4.45,3.25,0.0,0.91,0.0
hsa-miR-200b-5p,0.0,7.86,6.92,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-200c-3p,18.47,87.29,72.64,7.53,39.69,12.92,0.0,0.0,0.0,4.45,4.11,7.04,0.0,0.45,0.0
hsa-miR-203a-3p,0.0,6.11,6.92,3.77,0.63,6.46,0.0,0.0,3.04,0.0,0.0,1.08,0.0,0.0,0.0
hsa-miR-204-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-204-5p,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
