miRNA,SRR6233838,SRR6233839,SRR6233840,SRR6233841,SRR6233842,SRR6233843
hsa-miR-1537-5p,0.0,0.14,0.0,0.0,0.0,0.0
hsa-miR-1538,0.13,0.14,0.16,0.0,0.0,0.12
hsa-miR-154-5p,0.52,0.27,1.45,2.54,0.93,3.94
hsa-miR-155-5p,81.49,93.14,89.96,53.75,47.27,92.89
hsa-miR-15a-3p,0.26,0.54,0.16,0.27,0.15,0.36
hsa-miR-15a-5p,42.51,49.43,57.02,75.41,61.02,114.0
hsa-miR-15b-3p,62.13,66.04,65.58,63.64,57.47,84.07
hsa-miR-15b-5p,211.37,174.7,211.1,246.41,217.35,422.61
hsa-miR-16-1-3p,0.13,0.41,0.16,0.0,0.31,0.48
hsa-miR-16-2-3p,4.84,6.54,8.88,7.62,4.94,9.06
hsa-miR-16-5p,27672.48,34159.3,34446.57,39573.98,36085.48,55284.97
hsa-miR-17-3p,2.49,2.72,3.39,6.95,4.17,6.2
hsa-miR-17-5p,85.67,91.23,113.71,87.71,88.36,158.36
hsa-miR-181a-2-3p,186.78,206.29,220.63,227.29,218.28,300.62
hsa-miR-181a-3p,41.46,41.26,34.56,48.13,37.38,43.17
hsa-miR-181a-5p,317.19,418.99,425.92,567.69,454.94,709.17
hsa-miR-181b-2-3p,1.57,2.86,2.42,1.34,1.08,1.55
hsa-miR-181b-3p,2.75,3.4,3.88,1.07,1.85,2.03
hsa-miR-181b-5p,451.78,543.44,524.12,637.08,595.37,904.85
hsa-miR-181c-3p,33.48,35.13,31.5,15.11,14.21,23.49
hsa-miR-181c-5p,21.32,22.06,21.0,28.08,16.37,22.9
hsa-miR-181d-3p,0.78,0.54,0.81,0.0,0.31,0.83
hsa-miR-181d-5p,29.56,36.36,35.86,26.74,34.6,38.16
hsa-miR-182-3p,0.78,1.77,1.29,1.2,0.46,0.83
hsa-miR-182-5p,13050.4,19356.84,18405.18,10909.95,10833.23,14862.78
hsa-miR-183-3p,1.7,2.04,2.75,3.61,4.02,5.72
hsa-miR-183-5p,3549.12,4833.8,4856.17,4004.46,3802.22,5959.76
hsa-miR-184,2.22,2.59,2.1,13.9,14.52,22.18
hsa-miR-1843,8.5,6.54,10.5,9.89,9.89,21.7
hsa-miR-185-3p,11.77,20.15,21.97,9.89,15.29,20.39
hsa-miR-185-5p,1402.43,1887.55,2064.19,766.5,986.97,1331.4
hsa-miR-186-3p,0.13,1.23,0.32,1.34,1.08,0.6
hsa-miR-186-5p,1016.57,1285.69,1324.92,843.65,752.01,1400.56
hsa-miR-187-3p,3.27,9.26,5.81,12.43,10.04,14.79
hsa-miR-187-5p,0.13,0.0,0.16,0.13,0.15,0.0
hsa-miR-188-3p,0.26,0.27,0.48,0.27,0.0,0.6
hsa-miR-188-5p,0.39,0.68,1.78,1.07,1.7,1.43
hsa-miR-18a-3p,21.84,21.24,23.1,21.93,17.3,23.73
hsa-miR-18a-5p,16.61,20.7,22.45,16.45,16.84,29.81
hsa-miR-18b-5p,0.0,0.0,0.0,0.8,0.93,0.12
hsa-miR-1908-3p,0.78,0.0,0.16,0.13,0.15,0.12
hsa-miR-1908-5p,1.31,2.04,1.62,0.67,0.77,1.31
hsa-miR-1909-3p,0.0,0.0,0.32,0.0,0.0,0.0
hsa-miR-1909-5p,0.0,0.41,0.0,0.0,0.0,0.24
hsa-miR-190a-3p,0.13,0.14,0.32,0.0,0.0,0.12
hsa-miR-190a-5p,3.53,5.72,4.36,4.81,2.32,9.06
hsa-miR-190b-5p,5.76,9.4,9.21,18.05,24.25,25.4
hsa-miR-191-3p,31.78,37.72,33.76,15.11,13.75,20.99
hsa-miR-191-5p,31338.14,35387.25,31862.3,17623.18,19471.3,24911.42
hsa-miR-1910-3p,0.0,0.82,0.0,0.13,0.31,0.24
hsa-miR-1910-5p,1.18,1.63,0.65,0.53,0.93,1.31
hsa-miR-1911-5p,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-1913,0.0,0.14,0.0,0.0,0.15,0.12
hsa-miR-1914-3p,0.52,0.54,0.32,0.27,2.01,1.31
hsa-miR-1914-5p,2.75,4.77,4.68,3.88,3.24,2.74
hsa-miR-1915-3p,1.7,2.04,2.26,4.68,3.55,4.65
hsa-miR-1915-5p,2.22,2.31,1.45,7.75,4.02,8.82
hsa-miR-192-3p,1.31,1.23,1.45,0.94,1.85,2.15
hsa-miR-192-5p,498.61,727.27,703.24,371.29,352.83,524.69
hsa-miR-193a-3p,0.65,1.09,1.13,0.13,0.93,0.72
hsa-miR-193a-5p,666.03,687.37,724.57,720.38,903.4,1044.13
hsa-miR-193b-3p,210.72,227.13,244.86,186.78,191.25,234.44
hsa-miR-193b-5p,193.32,199.62,179.93,154.29,180.43,235.99
hsa-miR-194-3p,0.39,0.54,0.32,0.8,0.93,1.91
hsa-miR-194-5p,55.59,69.31,69.29,47.06,52.52,70.12
hsa-miR-195-3p,17.27,17.84,19.71,4.81,5.72,6.8
hsa-miR-195-5p,239.23,276.83,298.97,128.22,137.64,202.24
hsa-miR-196a-1-3p,4.45,4.77,4.36,3.34,3.4,7.39
hsa-miR-196a-3p,0.65,1.63,0.97,1.07,0.46,1.07
hsa-miR-196a-5p,2432.09,3979.89,3774.81,3803.51,3724.98,6806.18
hsa-miR-196b-3p,0.13,0.27,0.65,0.0,0.0,0.36
hsa-miR-196b-5p,301.1,465.69,448.21,219.54,227.39,351.18
hsa-miR-197-3p,188.48,196.63,236.78,179.43,154.63,171.6
hsa-miR-197-5p,5.89,6.94,7.43,4.95,5.1,7.51
hsa-miR-1972,0.0,0.0,0.0,0.0,0.31,0.12
hsa-miR-1976,0.0,0.41,0.81,0.53,1.08,0.72
hsa-miR-199a-3p,13.86,17.97,19.06,7.62,25.64,24.68
hsa-miR-199a-5p,0.39,0.14,0.81,0.94,1.54,0.95
hsa-miR-199b-3p,1.96,0.14,0.97,12.03,2.47,6.44
hsa-miR-199b-5p,0.52,1.09,0.48,1.2,0.93,1.07
hsa-miR-19a-3p,94.31,142.98,137.94,119.39,44.64,79.3
hsa-miR-19a-5p,0.0,0.0,0.0,0.0,0.0,0.24
hsa-miR-19b-1-5p,0.39,0.54,1.13,0.4,0.15,1.19
hsa-miR-19b-3p,1083.67,1445.01,1459.63,664.76,430.38,870.15
hsa-miR-200a-3p,135.12,157.68,162.49,409.26,336.15,563.09
hsa-miR-200a-5p,5.49,7.35,8.72,15.78,15.14,27.9
hsa-miR-200b-3p,429.02,369.42,396.36,915.31,890.73,1594.94
hsa-miR-200b-5p,14.78,18.11,14.21,19.65,26.88,50.32
hsa-miR-200c-3p,1430.69,1205.08,1226.08,5633.2,4648.31,7146.15
hsa-miR-200c-5p,4.84,5.86,3.07,13.5,13.13,27.07
hsa-miR-202-3p,0.0,0.14,0.0,0.27,0.0,0.0
hsa-miR-202-5p,0.0,0.14,0.0,0.13,0.31,0.36
hsa-miR-203a-3p,501.88,599.0,561.76,350.7,415.24,193.18
hsa-miR-203b-3p,0.92,0.27,1.29,1.34,5.41,14.91
hsa-miR-204-3p,0.0,0.0,0.0,0.4,0.0,0.0
hsa-miR-204-5p,0.26,0.27,0.16,1.07,0.46,1.55
hsa-miR-205-5p,1.7,2.04,1.62,5.48,7.26,6.92
hsa-miR-206,0.0,0.14,0.0,0.0,0.0,0.0
hsa-miR-208b-3p,0.0,0.27,0.0,0.0,0.0,0.0
hsa-miR-20a-3p,0.13,0.68,0.32,1.07,0.15,1.31
hsa-miR-20a-5p,185.87,220.45,245.99,206.17,169.31,328.65
hsa-miR-20b-5p,2.88,4.09,5.49,15.11,10.81,19.32
hsa-miR-21-3p,90.51,124.18,120.01,68.99,46.96,88.36
hsa-miR-21-5p,21969.1,29260.96,29532.25,21960.42,18168.41,25189.74
hsa-miR-210-3p,224.19,227.26,256.65,315.4,240.68,355.36
hsa-miR-210-5p,1.44,0.54,0.48,0.53,0.93,0.95
hsa-miR-211-5p,0.0,0.14,0.16,0.13,0.0,0.12
hsa-miR-2110,42.25,46.98,56.05,49.34,58.24,75.72
hsa-miR-2113,0.26,0.0,0.0,0.0,0.0,0.0
hsa-miR-2114-3p,0.0,0.14,0.0,0.0,0.15,0.0
hsa-miR-2114-5p,0.0,0.68,0.0,0.27,0.93,0.12
hsa-miR-2115-3p,0.13,0.68,0.16,0.53,0.77,0.83
hsa-miR-2115-5p,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-2116-3p,21.32,20.02,22.29,25.4,30.28,28.62
hsa-miR-2116-5p,13.6,16.34,19.87,18.99,22.4,30.05
hsa-miR-212-3p,16.48,15.11,15.02,5.08,7.42,7.27
hsa-miR-212-5p,3.66,2.04,2.75,1.07,2.32,2.74
hsa-miR-214-3p,0.13,0.0,0.48,0.0,0.15,0.12
hsa-miR-214-5p,0.0,0.0,0.0,0.0,0.15,0.0
hsa-miR-215-3p,0.13,0.14,0.81,0.4,0.0,0.0
hsa-miR-215-5p,11.12,14.98,13.73,7.35,9.73,15.14
hsa-miR-216a-3p,0.0,0.14,0.32,0.0,0.0,0.0
hsa-miR-216a-5p,0.78,0.68,0.65,0.13,0.31,0.12
hsa-miR-216b-3p,0.39,0.0,0.16,0.0,0.62,0.0
hsa-miR-216b-5p,0.0,0.0,0.16,0.0,0.0,0.0
hsa-miR-217-5p,2.75,2.31,3.23,0.67,0.62,0.83
hsa-miR-218-1-3p,2.35,2.45,2.58,0.94,1.7,2.15
