miRNA,SRR21848191,SRR21848192,SRR21848193,SRR21848194,SRR21848195
hsa-miR-320a-3p,716.0,1309.0,12410.0,18185.0,6714.0
hsa-miR-320b,49.0,134.0,92.0,903.0,96.0
hsa-miR-320c,0.0,5.0,16.0,6.0,4.0
hsa-miR-320d,12.0,0.0,0.0,8.0,0.0
hsa-miR-323a-3p,7.0,6.0,7.0,0.0,4.0
hsa-miR-323b-3p,0.0,0.0,0.0,0.0,2.0
hsa-miR-324-3p,37.0,23.0,11.0,245.0,49.0
hsa-miR-324-5p,0.0,61.0,70.0,3893.0,1034.0
hsa-miR-326,0.0,0.0,0.0,0.0,4.0
hsa-miR-328-3p,109.0,77.0,148.0,233.0,56.0
hsa-miR-329-3p,0.0,0.0,4.0,0.0,0.0
hsa-miR-330-3p,27.0,11.0,3.0,2.0,0.0
hsa-miR-330-5p,0.0,7.0,7.0,35.0,2.0
hsa-miR-331-3p,2.0,0.0,4.0,28.0,7.0
hsa-miR-331-5p,0.0,0.0,0.0,10.0,0.0
hsa-miR-335-3p,261.0,300.0,101.0,15.0,0.0
hsa-miR-335-5p,37.0,9.0,40.0,272.0,39.0
hsa-miR-337-5p,0.0,0.0,0.0,2.0,0.0
hsa-miR-339-3p,0.0,7.0,20.0,265.0,14.0
hsa-miR-339-5p,191.0,97.0,108.0,556.0,75.0
hsa-miR-33a-3p,0.0,0.0,0.0,9.0,0.0
hsa-miR-33a-5p,10.0,14.0,7.0,71.0,0.0
hsa-miR-33b-3p,0.0,0.0,0.0,1.0,0.0
hsa-miR-33b-5p,0.0,14.0,43.0,3366.0,220.0
hsa-miR-340-3p,40.0,25.0,25.0,134.0,0.0
hsa-miR-340-5p,331.0,316.0,199.0,1127.0,181.0
hsa-miR-342-3p,37.0,36.0,159.0,138.0,88.0
hsa-miR-342-5p,17.0,22.0,71.0,247.0,44.0
hsa-miR-345-5p,0.0,44.0,90.0,1388.0,905.0
hsa-miR-34a-5p,367.0,149.0,102.0,22.0,0.0
hsa-miR-34c-5p,0.0,0.0,12.0,0.0,0.0
hsa-miR-3605-3p,0.0,0.0,13.0,23.0,23.0
hsa-miR-3605-5p,0.0,0.0,9.0,180.0,23.0
hsa-miR-3609,0.0,0.0,3.0,2.0,0.0
hsa-miR-361-3p,0.0,30.0,26.0,139.0,26.0
hsa-miR-361-5p,50.0,24.0,56.0,63.0,0.0
hsa-miR-3611,0.0,0.0,0.0,7.0,0.0
hsa-miR-3613-3p,5.0,0.0,6.0,96.0,24.0
hsa-miR-3613-5p,4.0,53.0,590.0,1090.0,105.0
hsa-miR-3614-3p,0.0,0.0,0.0,7.0,0.0
hsa-miR-3614-5p,0.0,0.0,2.0,0.0,0.0
hsa-miR-3615,29.0,45.0,183.0,2339.0,744.0
hsa-miR-362-3p,5.0,22.0,1.0,115.0,21.0
hsa-miR-362-5p,0.0,0.0,11.0,27.0,15.0
hsa-miR-3620-3p,0.0,0.0,0.0,4.0,0.0
hsa-miR-363-3p,1.0,153.0,735.0,12966.0,2026.0
hsa-miR-363-5p,0.0,0.0,0.0,15.0,0.0
hsa-miR-3648,0.0,0.0,3.0,0.0,0.0
hsa-miR-3651,0.0,0.0,0.0,4.0,0.0
hsa-miR-3657,0.0,0.0,0.0,10.0,0.0
hsa-miR-365a-3p,0.0,11.0,24.0,24.0,0.0
hsa-miR-365b-3p,111.0,0.0,7.0,0.0,0.0
hsa-miR-365b-5p,0.0,0.0,1.0,3.0,0.0
hsa-miR-3661,0.0,0.0,0.0,2.0,0.0
hsa-miR-3675-5p,0.0,0.0,0.0,22.0,0.0
hsa-miR-3677-3p,0.0,0.0,0.0,1.0,0.0
hsa-miR-3679-5p,0.0,0.0,0.0,3.0,0.0
hsa-miR-3680-5p,0.0,0.0,0.0,7.0,1.0
hsa-miR-3682-3p,0.0,0.0,0.0,1.0,4.0
hsa-miR-3683,0.0,0.0,0.0,1.0,1.0
hsa-miR-3684,0.0,0.0,0.0,28.0,2.0
hsa-miR-3688-3p,0.0,13.0,8.0,151.0,19.0
hsa-miR-369-3p,0.0,0.0,11.0,5.0,8.0
hsa-miR-369-5p,0.0,0.0,0.0,3.0,0.0
hsa-miR-3691-3p,0.0,0.0,0.0,2.0,4.0
hsa-miR-3691-5p,0.0,0.0,0.0,12.0,0.0
