miRNA,SRR23352407,SRR23352408,SRR23352409,SRR23352410,SRR23352411,SRR23352412,SRR23352413,SRR23352414
hsa-miR-378i,2.0,4.0,8.0,0.0,1.0,1.0,0.0,0.0
hsa-miR-379-3p,0.0,183.0,4.0,8.0,6.0,5.0,3.0,0.0
hsa-miR-379-5p,158.0,561.0,798.0,579.0,811.0,713.0,42.0,6.0
hsa-miR-380-5p,1.0,13.0,8.0,3.0,140.0,4.0,0.0,0.0
hsa-miR-381-3p,482.0,3087.0,1878.0,567.0,2799.0,1346.0,83.0,24.0
hsa-miR-382-3p,6.0,155.0,44.0,138.0,888.0,200.0,8.0,3.0
hsa-miR-382-5p,263.0,340.0,226.0,156.0,54.0,198.0,15.0,3.0
hsa-miR-383-3p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-383-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-384,0.0,4.0,0.0,1.0,3.0,33.0,0.0,2.0
hsa-miR-3913-5p,11.0,0.0,1.0,170.0,0.0,0.0,0.0,0.0
hsa-miR-3916,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-3925-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3928-3p,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0
