miRNA,SRR22891202,SRR22891203,SRR22891204,SRR22891205
hsa-miR-28-5p,7.05,4.26,7.48,13.73
hsa-miR-296-3p,0.0,0.0,0.0,0.09
hsa-miR-296-5p,0.0,0.08,0.0,0.0
hsa-miR-299-3p,0.54,0.0,0.0,0.0
hsa-miR-299-5p,4.68,0.54,0.29,0.18
hsa-miR-29a-3p,57.02,73.78,92.26,53.58
hsa-miR-29a-5p,0.68,0.16,0.73,0.8
hsa-miR-29b-1-5p,0.75,0.39,0.0,0.27
hsa-miR-29b-2-5p,0.07,0.08,0.0,0.0
hsa-miR-29b-3p,2.17,5.35,7.92,6.02
hsa-miR-29c-3p,2.17,2.4,3.23,1.68
hsa-miR-29c-5p,0.41,0.62,0.44,0.18
hsa-miR-301a-3p,0.81,0.62,1.17,1.33
hsa-miR-301b-3p,0.47,0.0,0.0,0.09
hsa-miR-302a-3p,1.42,0.47,1.91,0.09
hsa-miR-302b-3p,2.03,0.16,1.76,0.18
hsa-miR-302c-3p,0.81,0.16,0.88,0.09
hsa-miR-302d-3p,1.29,0.47,0.88,0.35
hsa-miR-3064-5p,0.07,0.0,0.0,0.0
hsa-miR-30a-3p,14.24,9.92,17.01,9.57
hsa-miR-30a-5p,1.02,13.56,18.19,16.38
hsa-miR-30b-3p,0.0,0.08,0.0,0.0
hsa-miR-30b-5p,2.92,8.91,10.41,8.68
hsa-miR-30c-1-3p,0.0,0.08,0.0,0.0
hsa-miR-30c-2-3p,0.27,0.31,0.44,0.27
hsa-miR-30c-5p,2.85,7.75,12.91,9.03
hsa-miR-30d-3p,0.14,0.08,0.44,0.27
hsa-miR-30d-5p,3.53,14.57,21.85,15.14
hsa-miR-30e-3p,9.29,4.73,10.56,7.97
hsa-miR-30e-5p,0.14,2.02,3.81,2.21
hsa-miR-31-3p,7.73,3.02,1.76,1.95
hsa-miR-31-5p,7.32,26.66,25.96,21.34
hsa-miR-3117-3p,0.81,0.54,1.03,0.09
hsa-miR-3117-5p,0.0,0.0,0.0,0.09
hsa-miR-3124-5p,0.07,0.0,0.0,0.0
hsa-miR-3126-3p,0.07,0.0,0.0,0.0
hsa-miR-3126-5p,0.07,0.0,0.0,0.0
hsa-miR-3129-5p,0.34,0.23,0.0,0.0
hsa-miR-3136-3p,0.07,0.0,0.0,0.0
hsa-miR-3138,0.0,0.0,0.0,0.18
hsa-miR-3140-3p,0.07,0.0,0.0,0.0
hsa-miR-3148,0.0,0.0,0.15,0.0
hsa-miR-3149,0.0,0.0,0.0,0.09
hsa-miR-3152-5p,1.49,0.31,0.0,0.0
hsa-miR-3158-3p,0.07,0.0,0.0,0.0
hsa-miR-3170,0.07,0.0,0.0,0.0
hsa-miR-3173-5p,0.14,0.08,0.15,0.09
hsa-miR-3174,0.2,0.0,0.0,0.09
hsa-miR-3176,0.0,0.0,0.0,0.09
hsa-miR-3178,0.07,0.62,0.0,0.0
hsa-miR-3180-3p,0.0,0.08,0.0,0.0
hsa-miR-3182,1.08,3.95,8.21,7.35
hsa-miR-3187-3p,0.41,0.54,0.0,0.8
hsa-miR-3190-3p,0.0,0.16,0.0,0.0
hsa-miR-3190-5p,0.2,0.0,0.0,0.0
hsa-miR-3192-5p,0.0,0.08,0.29,0.09
hsa-miR-3195,1.08,14.18,1.76,11.34
hsa-miR-3196,0.07,0.16,0.15,0.71
hsa-miR-32-3p,0.07,0.0,0.0,0.09
hsa-miR-32-5p,0.34,3.18,3.81,2.83
hsa-miR-3200-5p,0.0,0.0,0.0,0.09
hsa-miR-320a-3p,28.61,16.59,8.21,16.03
hsa-miR-320a-5p,9.15,4.57,8.8,19.22
hsa-miR-320b,2.58,2.87,1.61,0.62
hsa-miR-320c,1.83,2.71,0.15,2.92
hsa-miR-320d,0.2,0.23,0.15,0.97
hsa-miR-323a-3p,1.63,2.71,0.0,0.27
hsa-miR-323a-5p,0.81,0.08,0.0,0.09
hsa-miR-323b-3p,1.15,0.47,0.0,0.0
hsa-miR-323b-5p,0.34,0.0,0.0,0.18
hsa-miR-324-3p,0.27,0.0,0.15,0.18
hsa-miR-324-5p,0.2,0.23,0.44,0.27
hsa-miR-326,0.07,0.0,0.0,0.09
hsa-miR-328-3p,0.47,3.26,1.91,2.48
hsa-miR-329-3p,0.75,0.31,0.0,0.0
hsa-miR-329-5p,0.07,0.0,0.0,0.0
hsa-miR-330-3p,0.0,0.0,0.0,0.53
hsa-miR-330-5p,0.27,0.47,0.44,0.53
hsa-miR-331-3p,0.2,0.08,0.15,0.35
hsa-miR-331-5p,0.07,0.39,0.29,0.0
hsa-miR-335-3p,0.2,0.78,0.73,0.18
hsa-miR-335-5p,4.47,3.57,5.28,3.81
hsa-miR-337-3p,26.85,5.66,0.29,0.89
hsa-miR-337-5p,2.03,0.23,0.44,0.09
hsa-miR-338-3p,0.0,0.16,0.15,0.0
hsa-miR-338-5p,0.0,0.0,0.15,0.0
hsa-miR-339-3p,0.54,0.39,0.15,0.35
hsa-miR-339-5p,0.47,0.08,0.15,0.18
hsa-miR-33a-5p,1.49,4.19,8.36,5.14
hsa-miR-340-3p,0.41,0.93,1.17,1.06
hsa-miR-340-5p,0.81,1.63,1.03,1.06
hsa-miR-342-3p,3.46,11.24,3.96,6.47
hsa-miR-342-5p,0.2,0.16,0.15,0.09
hsa-miR-345-5p,1.22,1.4,1.03,3.45
hsa-miR-346,0.0,0.0,0.15,0.0
hsa-miR-34a-3p,0.0,0.0,0.15,0.0
hsa-miR-34a-5p,656.04,576.37,1178.84,413.25
hsa-miR-34b-3p,0.07,0.39,0.73,0.44
hsa-miR-34b-5p,0.0,0.0,0.0,0.09
hsa-miR-34c-3p,0.68,0.47,0.29,0.09
hsa-miR-34c-5p,0.0,0.31,0.59,0.44
hsa-miR-3605-3p,0.27,0.23,0.15,0.09
hsa-miR-3605-5p,0.07,0.16,0.15,0.18
hsa-miR-361-5p,1.49,1.32,1.47,0.44
hsa-miR-3613-3p,0.0,0.08,0.15,0.09
hsa-miR-3613-5p,5.63,3.18,3.96,1.59
hsa-miR-3614-3p,0.0,0.08,0.0,0.0
hsa-miR-3615,1.15,0.31,0.0,0.18
hsa-miR-3617-3p,0.0,0.08,0.0,0.0
hsa-miR-362-5p,0.0,0.08,0.29,0.09
hsa-miR-363-3p,0.54,0.23,0.44,0.27
hsa-miR-3648,3.86,8.45,5.13,11.6
hsa-miR-3651,0.34,1.32,0.15,2.21
hsa-miR-3652,0.0,0.16,0.0,0.18
hsa-miR-3654,0.0,0.08,0.0,0.09
hsa-miR-3655,0.0,0.16,0.0,0.0
hsa-miR-365a-3p,0.68,0.93,1.91,0.0
hsa-miR-365a-5p,0.14,0.0,0.0,0.09
hsa-miR-365b-3p,0.27,1.4,0.0,1.24
hsa-miR-365b-5p,0.0,0.39,0.29,0.09
hsa-miR-3663-3p,0.0,0.08,0.0,0.0
hsa-miR-3665,5.97,3.57,4.25,5.31
hsa-miR-3678-5p,0.0,0.08,0.0,0.0
hsa-miR-3679-5p,0.07,0.0,0.0,0.27
hsa-miR-3684,0.07,0.0,0.0,0.0
hsa-miR-369-3p,2.44,0.16,0.0,0.62
hsa-miR-369-5p,366.26,40.22,26.55,18.42
hsa-miR-370-3p,0.54,0.54,0.0,0.0
hsa-miR-370-5p,0.34,0.0,0.0,0.0
hsa-miR-374a-3p,0.14,0.0,0.15,0.0
hsa-miR-374a-5p,0.81,0.47,0.29,0.18
hsa-miR-374b-3p,0.0,0.08,0.0,0.0
hsa-miR-374b-5p,0.41,0.16,0.59,0.97
hsa-miR-375-3p,1.9,1.24,2.2,1.68
hsa-miR-376a-3p,22.58,2.64,1.47,2.75
hsa-miR-376b-3p,21.56,2.02,1.17,2.57
