miRNA,SRR13288406,SRR13288407,SRR13288408,SRR13288409,SRR13288410,SRR13288411,SRR13288412,SRR13288413,SRR13288414,SRR13288415,SRR13288416,SRR13288417,SRR13288418,SRR13288419,SRR13288420,SRR13288421,SRR13288422
hsa-miR-148a-3p,2585.28,1050.04,1228.15,1373.63,1927.78,2914.18,1281.84,1887.81,1674.38,1637.37,5818.55,9927.98,882.77,2534.35,3942.53,856.42,17199.82
hsa-miR-148a-5p,6.08,1.86,16.46,11.84,25.76,43.4,11.22,16.39,10.67,17.1,6.94,67.6,8.55,4.61,43.79,7.55,12.2
hsa-miR-148b-3p,8.1,40.27,45.39,20.72,61.02,147.27,17.38,56.79,32.7,38.0,20.81,402.72,22.07,11.19,176.93,22.53,39.97
hsa-miR-148b-5p,0.0,0.0,0.89,2.96,1.05,3.31,0.6,0.67,1.19,0.65,0.0,4.65,0.13,0.66,6.71,1.14,0.0
hsa-miR-149-3p,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-149-5p,0.68,0.0,2.67,0.0,1.29,1.65,0.72,0.22,1.19,0.16,0.0,0.0,0.26,0.0,1.18,0.34,0.0
hsa-miR-150-3p,0.0,11.77,0.44,2.96,71.67,20.53,2.78,6.96,0.34,15.73,0.0,61.15,1.15,3.95,21.3,0.57,27.78
hsa-miR-150-5p,37.14,2.48,7.56,11.84,806.08,381.06,18.47,87.77,2.71,346.17,2.31,785.37,6.0,25.67,399.82,3.66,45.39
hsa-miR-151a-3p,285.6,168.5,159.3,74.01,462.12,824.53,113.33,232.78,160.95,75.75,252.08,2373.93,73.11,201.1,598.44,97.8,1746.0
hsa-miR-151a-5p,2.03,0.0,2.67,0.0,1.29,0.96,0.72,0.67,1.02,0.65,0.0,3.45,0.89,1.97,2.37,0.92,0.0
hsa-miR-151b,0.0,2.48,0.0,0.0,0.23,3.86,0.12,0.67,0.34,0.08,0.0,0.9,0.0,0.33,2.56,0.0,0.0
hsa-miR-152-3p,73.6,70.0,188.23,62.17,444.56,909.95,44.53,249.16,202.46,57.44,39.31,555.75,80.25,53.98,574.18,157.05,151.77
hsa-miR-152-5p,0.68,0.0,0.0,0.0,1.05,1.93,0.24,2.02,1.02,0.24,2.31,1.2,0.26,0.99,1.78,0.23,0.0
hsa-miR-1537-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
hsa-miR-1538,0.0,0.0,1.78,0.0,0.0,0.41,0.24,0.67,0.0,0.08,2.31,0.0,0.26,0.0,0.59,0.0,0.0
hsa-miR-154-3p,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-154-5p,0.0,0.0,0.0,0.0,0.12,0.69,0.0,1.12,0.0,0.16,0.0,0.75,0.0,0.0,0.2,0.11,0.0
hsa-miR-155-5p,38.49,2.48,30.7,5.92,289.62,401.59,18.83,44.22,20.33,79.79,9.25,566.54,12.12,19.75,497.25,16.59,11.52
hsa-miR-15a-3p,0.0,0.0,0.0,0.0,0.0,0.14,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-5p,0.0,0.0,0.0,0.0,0.59,2.62,0.0,0.22,0.34,0.65,0.0,0.45,0.26,0.0,0.99,0.34,0.0
hsa-miR-15b-3p,0.0,0.0,1.33,0.0,0.0,1.38,0.0,0.22,0.68,0.73,0.0,1.8,0.0,0.66,2.37,0.0,0.0
hsa-miR-15b-5p,0.0,0.0,0.0,2.96,1.99,8.95,0.12,2.02,0.68,6.13,0.0,5.1,0.64,0.0,4.34,1.26,0.0
hsa-miR-16-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.24,0.0,0.3,0.0,0.0,0.0,0.11,0.0
hsa-miR-16-2-3p,10.8,0.62,4.45,2.96,6.44,25.76,5.43,11.45,5.76,10.08,6.94,13.94,3.19,5.27,25.05,4.46,3.39
hsa-miR-16-5p,8.78,1.24,3.11,0.0,10.77,51.94,6.03,15.71,6.1,12.59,6.94,121.4,5.1,2.63,43.2,8.24,0.0
hsa-miR-17-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-17-5p,0.0,0.0,2.22,0.0,3.51,23.28,1.93,3.37,3.05,6.13,0.0,7.19,0.89,4.94,14.99,2.4,0.0
hsa-miR-181a-2-3p,2.03,15.49,15.57,5.92,17.57,21.9,5.19,15.04,14.4,12.83,18.5,46.31,5.23,4.61,18.74,2.4,49.46
