miRNA,SRR14867395,SRR14867396,SRR14867397,SRR14867398,SRR14867399,SRR14867400,SRR14867401,SRR14867402,SRR14867403,SRR14867404,SRR14867405,SRR14867406,SRR14867407,SRR14867408,SRR14867409,SRR14867410,SRR14867411,SRR14867412,SRR14867413,SRR14867414,SRR14867415
hsa-miR-1305,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,3.39,0.0,2.12,2.62,8.25,6.19,8.6,2.99,0.59,8.58,3.62,5.35,11.4,7.41,3.56,5.94,0.0,0.0,0.0,7.44,4.22
hsa-miR-1306-5p,3.54,0.0,0.0,5.76,0.0,7.14,0.0,3.87,2.96,0.0,4.22,2.87,4.12,4.29,3.48,2.05,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,89.72,87.05,191.13,17.29,22.87,6.98,48.73,24.99,20.69,35.81,13.56,35.22,10.67,28.23,44.87,31.53,23.66,10.35,62.49,12.45,43.53
hsa-miR-1307-5p,24.88,40.32,63.19,16.24,16.87,42.83,50.04,49.27,27.19,15.3,14.17,21.79,13.59,24.05,18.22,18.03,37.17,10.67,44.2,34.77,38.01
hsa-miR-130a-3p,381.73,268.03,571.91,387.15,354.31,216.99,203.02,264.49,341.61,258.17,377.1,351.83,413.13,245.82,396.93,209.24,123.81,216.95,325.63,256.62,235.53
hsa-miR-130b-3p,288.84,139.71,299.24,169.22,208.83,172.26,556.41,131.28,184.99,176.84,156.9,266.77,150.65,218.24,156.96,176.1,120.12,168.77,215.93,209.4,142.61
hsa-miR-130b-5p,5.65,10.44,7.29,12.57,2.25,6.19,7.3,0.0,2.36,4.85,1.06,5.35,2.18,1.07,1.62,4.1,0.0,0.0,17.82,0.32,0.0
hsa-miR-132-3p,31.37,16.6,33.12,33.0,31.49,30.45,16.68,21.12,18.32,27.61,21.55,17.87,24.26,26.3,13.61,19.76,40.25,20.05,25.92,37.35,11.05
hsa-miR-132-5p,1.58,3.32,2.03,0.0,0.0,0.0,4.17,3.52,0.0,5.6,0.0,2.35,1.21,1.72,1.46,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1323,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,13.95,13.05,10.98,24.1,23.25,13.48,3.65,19.36,0.0,8.95,5.43,9.78,2.18,5.26,0.97,3.89,4.15,0.0,17.82,13.42,4.87
hsa-miR-133a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,2.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,15.23,0.0,13.1,0.0,0.0,0.0,7.04,0.0,4.14,0.0,2.86,12.13,0.0,8.8,1.62,1.84,0.0,14.23,4.4,0.0,5.85
hsa-miR-1343-3p,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,2.77,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-3p,0.0,0.0,11.25,2.62,0.0,0.0,0.0,1.23,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.99,0.0,0.0,0.0
hsa-miR-136-5p,0.0,0.0,0.83,0.0,1.87,3.65,3.39,0.0,0.0,0.0,0.0,0.91,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-5p,0.68,0.0,1.66,3.14,0.0,0.0,3.39,0.0,0.0,1.12,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-3p,29.78,3.32,54.7,20.43,12.37,6.19,26.06,25.69,45.51,13.06,4.67,9.78,6.79,3.76,7.29,6.05,7.68,10.35,8.56,8.41,17.22
hsa-miR-139-5p,4.52,3.08,12.45,18.34,1.5,11.1,0.78,22.0,33.1,3.73,0.9,2.35,0.0,6.76,1.62,2.16,4.76,0.0,10.18,0.0,13.64
hsa-miR-140-3p,621.95,897.07,304.03,409.68,370.05,157.82,201.98,240.2,139.48,335.02,703.56,683.82,320.22,355.1,600.86,524.51,597.85,380.87,520.27,634.84,188.42
hsa-miR-140-5p,21.56,10.67,11.53,13.1,15.0,4.12,10.16,7.39,8.27,0.75,7.69,5.74,3.88,0.0,5.99,2.81,6.14,3.23,15.27,5.34,3.57
hsa-miR-141-3p,71.7,879.28,144.27,325.86,148.1,32.2,68.28,125.65,181.45,106.7,340.17,51.79,87.57,329.88,115.57,201.68,116.59,150.02,252.5,164.93,51.0
