miRNA,ERR1682041,ERR1682042,ERR1682043,ERR1682044,ERR1682045,ERR1682046,ERR1682047,ERR1682048,ERR1682049,ERR1682050,ERR1682051,ERR1682052,ERR1682053,ERR1682054,ERR1682055,ERR1682056,ERR1682057,ERR1682058,ERR1682059,ERR1682060,ERR1682061,ERR1682062,ERR1682063,ERR1682064,ERR1682065
hsa-miR-139-5p,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-140-3p,4.0,76.0,36.0,15.0,0.0,46.0,8.0,11.0,26.0,17.0,89.0,12.0,14.0,20.0,18.0,40.0,16.0,26.0,6.0,8.0,8.0,10.0,2.0,29.0,0.0
hsa-miR-140-5p,1.0,6.0,3.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,13.0,1.0,1.0,5.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-141-3p,58.0,296.0,297.0,99.0,24.0,154.0,7.0,46.0,13.0,37.0,605.0,70.0,115.0,83.0,137.0,231.0,144.0,286.0,112.0,8.0,11.0,132.0,27.0,154.0,3.0
hsa-miR-141-5p,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
hsa-miR-142-3p,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,10.0,11.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0
hsa-miR-142-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-143-3p,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-144-3p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,13.0,107.0,7.0,4.0,0.0,9.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0
hsa-miR-144-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-145-5p,1.0,6.0,3.0,1.0,3.0,3.0,0.0,3.0,6.0,1.0,8.0,2.0,3.0,8.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,14.0,0.0
hsa-miR-1468-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1469,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,9.0,37.0,24.0,8.0,1.0,39.0,13.0,13.0,12.0,11.0,24.0,1.0,27.0,14.0,5.0,7.0,4.0,6.0,7.0,7.0,8.0,2.0,2.0,12.0,0.0
