miRNA,SRR24875824,SRR24875825,SRR24875826,SRR24875827,SRR24875828,SRR24875829,SRR24875830,SRR24875831,SRR24875832
hsa-miR-218-5p,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
hsa-miR-219a-1-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
hsa-miR-22-3p,670.0,1745.0,671.0,494.0,0.0,420.0,320.0,5.0,2.0
hsa-miR-22-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0
hsa-miR-221-3p,328.0,651.0,378.0,222.0,16.0,191.0,2.0,568.0,0.0
hsa-miR-221-5p,0.0,0.0,0.0,1.0,724.0,8.0,0.0,189.0,0.0
hsa-miR-222-3p,16216.0,8881.0,16156.0,6216.0,20575.0,6068.0,12316.0,74249.0,4645.0
hsa-miR-223-5p,1099.0,1528.0,1098.0,389.0,11.0,385.0,437.0,1415.0,995.0
hsa-miR-224-5p,750.0,2289.0,735.0,431.0,405.0,420.0,235.0,407.0,1.0
hsa-miR-23a-3p,342.0,1.0,341.0,856.0,1.0,820.0,650.0,400.0,1.0
hsa-miR-23b-3p,0.0,0.0,0.0,452.0,1.0,415.0,25.0,352.0,0.0
hsa-miR-23b-5p,722.0,0.0,714.0,2.0,699.0,0.0,0.0,209.0,0.0
hsa-miR-24-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
hsa-miR-24-3p,324.0,0.0,369.0,393.0,350.0,418.0,372.0,1423.0,909.0
hsa-miR-25-3p,4939.0,9487.0,5158.0,5993.0,6275.0,6060.0,10017.0,10257.0,2073.0
hsa-miR-25-5p,0.0,0.0,0.0,0.0,0.0,0.0,100.0,225.0,0.0
hsa-miR-26a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,97.0,102.0,0.0
hsa-miR-26a-5p,5445.0,4389.0,5333.0,4057.0,2407.0,4060.0,4472.0,8493.0,11.0
hsa-miR-26b-3p,0.0,0.0,0.0,0.0,186.0,0.0,54.0,149.0,0.0
hsa-miR-26b-5p,0.0,0.0,0.0,0.0,0.0,0.0,9.0,235.0,0.0
hsa-miR-27a-3p,318.0,657.0,329.0,22.0,1188.0,21.0,447.0,605.0,0.0
hsa-miR-27a-5p,0.0,0.0,0.0,493.0,0.0,460.0,1.0,139.0,1.0
hsa-miR-27b-3p,351.0,1161.0,349.0,431.0,3.0,437.0,252.0,2141.0,3.0
hsa-miR-27b-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,228.0,0.0
hsa-miR-28-3p,2761.0,3953.0,2683.0,3364.0,2871.0,3432.0,2068.0,3081.0,518.0
hsa-miR-28-5p,0.0,0.0,0.0,0.0,0.0,0.0,155.0,170.0,1.0
hsa-miR-29a-3p,1.0,2.0,0.0,0.0,1.0,0.0,154.0,162.0,0.0
hsa-miR-30a-3p,517.0,3.0,506.0,590.0,1579.0,667.0,381.0,1020.0,2.0
hsa-miR-30a-5p,453.0,2086.0,428.0,20.0,2540.0,30.0,16.0,256.0,5.0
hsa-miR-30b-3p,321.0,0.0,359.0,0.0,0.0,0.0,76.0,212.0,0.0
hsa-miR-30b-5p,0.0,1.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0
hsa-miR-30c-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0
hsa-miR-30c-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,144.0,284.0,0.0
hsa-miR-30c-5p,1126.0,1418.0,1060.0,2151.0,1289.0,2174.0,756.0,1187.0,2.0
hsa-miR-30d-3p,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
