miRNA,SRR8560004,SRR8560005,SRR8560006
hsa-miR-6733-3p,0.0,0.38,0.0
hsa-miR-6733-5p,0.95,0.38,0.0
hsa-miR-6743-3p,0.0,0.77,0.0
hsa-miR-6747-3p,0.0,0.0,0.96
hsa-miR-6754-3p,0.0,0.38,0.0
hsa-miR-6797-3p,0.0,0.38,0.0
hsa-miR-6803-3p,0.0,0.38,0.0
hsa-miR-6815-5p,0.0,0.38,1.92
hsa-miR-6818-5p,0.95,0.38,0.0
hsa-miR-6820-3p,0.0,0.38,0.0
hsa-miR-6826-5p,0.0,0.0,0.96
hsa-miR-6830-5p,0.95,0.0,0.0
hsa-miR-6851-3p,0.95,0.0,0.0
hsa-miR-6861-5p,0.0,0.38,0.0
hsa-miR-6869-5p,1.9,29.85,16.29
hsa-miR-6873-5p,0.0,0.38,0.0
hsa-miR-7-1-3p,0.95,0.0,0.0
hsa-miR-7-5p,1575.22,1463.31,1820.14
hsa-miR-708-5p,0.0,0.38,0.0
hsa-miR-7108-3p,0.95,0.0,0.0
hsa-miR-7110-3p,2.84,11.48,13.41
hsa-miR-7111-3p,0.0,1.53,0.0
hsa-miR-7113-3p,0.0,0.38,0.0
hsa-miR-744-3p,2.84,0.0,0.96
hsa-miR-744-5p,3.79,0.38,0.0
hsa-miR-766-3p,0.95,0.0,1.92
hsa-miR-766-5p,1.9,1.15,0.0
hsa-miR-769-3p,0.95,3.06,1.92
hsa-miR-769-5p,12.32,12.25,6.71
hsa-miR-7704,0.0,0.38,0.0
hsa-miR-7705,0.95,0.38,0.96
hsa-miR-7706,0.0,0.38,0.0
hsa-miR-874-3p,0.0,0.38,0.0
hsa-miR-877-3p,0.0,0.77,0.0
hsa-miR-885-5p,6.63,5.36,5.75
hsa-miR-9-3p,0.0,0.0,0.96
hsa-miR-9-5p,0.0,0.0,0.96
hsa-miR-92a-3p,32.22,18.75,31.61
hsa-miR-92b-3p,161.12,91.84,100.59
hsa-miR-92b-5p,0.0,0.38,0.0
hsa-miR-93-3p,10.43,6.51,14.37
hsa-miR-93-5p,28.43,21.81,37.36
hsa-miR-937-3p,0.0,0.38,0.0
hsa-miR-939-5p,0.0,0.77,0.0
hsa-miR-940,0.95,1.53,0.96
hsa-miR-941,0.0,0.0,1.92
hsa-miR-96-5p,1.9,3.83,0.0
hsa-miR-98-3p,1.9,1.53,4.79
hsa-miR-98-5p,204.72,44.01,110.17
hsa-miR-9985,0.0,0.38,0.0
hsa-miR-99a-5p,64.45,51.66,68.02
hsa-miR-99b-3p,38.86,34.82,32.57
hsa-miR-99b-5p,43.6,10.33,24.91
hsa-mir-12118-5p,0.0,0.38,0.0
hsa-mir-12136-5p,533.6,266.33,576.7
hsa-mir-1255a-5p,0.95,0.0,0.0
hsa-mir-1256-5p,0.0,0.77,0.0
hsa-mir-1303-3p,1.9,3.06,0.96
hsa-mir-1843-5p,0.0,0.38,0.96
hsa-mir-2110-5p,1.9,0.38,0.0
hsa-mir-2392-3p,0.0,0.38,0.0
hsa-mir-3133-5p,0.0,0.77,0.96
hsa-mir-3134-3p,0.0,0.38,0.0
hsa-mir-3135a-5p,0.0,0.0,1.92
hsa-mir-3135b-5p,0.0,1.15,0.0
hsa-mir-3154-3p,0.0,0.38,0.0
hsa-mir-3159-5p,0.0,0.77,0.0
hsa-mir-3648-1-5p,0.0,1.91,0.96
hsa-mir-3648-2-5p,0.95,6.89,0.0
hsa-mir-3714-5p,7.58,6.89,3.83
hsa-mir-3908-5p,0.0,1.53,1.92
hsa-mir-3916-5p,0.0,0.38,0.96
hsa-mir-3960-3p,0.0,0.38,0.0
hsa-mir-4314-5p,0.0,0.38,0.0
hsa-mir-4426-5p,0.0,0.38,0.0
hsa-mir-4449-3p,0.0,0.77,0.0
hsa-mir-4472-2-5p,0.95,0.0,0.96
hsa-mir-4521-5p,0.95,0.77,0.0
hsa-mir-4525-5p,0.95,0.0,0.0
hsa-mir-4741-3p,0.0,0.38,0.0
hsa-mir-5191-3p,0.95,0.0,0.0
hsa-mir-567-5p,0.0,0.38,0.0
hsa-mir-5684-5p,2.84,2.68,2.87
hsa-mir-5687-3p,0.0,0.38,0.0
hsa-mir-5695-3p,0.0,0.38,0.0
hsa-mir-577-5p,0.0,0.0,0.96
hsa-mir-6084-3p,0.0,0.38,0.0
hsa-mir-612-5p,0.0,0.38,0.0
hsa-mir-6127-5p,0.0,5.74,1.92
hsa-mir-641-5p,0.0,0.0,1.92
hsa-mir-663a-5p,0.0,0.0,0.96
hsa-mir-7704-5p,0.0,0.0,0.96
hsa-mir-7851-3p,0.0,0.38,0.0
hsa-mir-8086-5p,0.0,0.38,0.96
hsa-mir-8485-3p,0.0,0.38,0.0
hsa-mir-941-3-3p,0.0,0.0,0.96
hsa-mir-9902-2-5p,0.0,0.38,1.92
