miRNA,ERR12138325,ERR12138326,ERR12138327,ERR12138328,ERR12138329,ERR12138330,ERR12138331,ERR12138332,ERR12138333,ERR12138334,ERR12138336,ERR12138338,ERR12138339
hsa-miR-625-3p,0.0,0.0,0.0,60.38,0.0,8.28,5.7,0.0,0.0,8.05,23.19,2.74,35.88
hsa-miR-627-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-628-3p,2.45,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,2.68,5.8,0.0,11.96
hsa-miR-628-5p,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,3.99
hsa-miR-629-5p,4.89,4.41,0.0,9.53,20.79,13.81,11.41,5.48,5.16,16.09,26.09,27.44,0.0
hsa-miR-636,0.0,0.0,0.0,3.18,3.47,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-641,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-651-5p,0.0,0.0,2.64,9.53,3.47,5.52,11.41,0.0,0.0,8.05,8.7,5.49,0.0
hsa-miR-6511a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,2.9,0.0,0.0
hsa-miR-6511b-5p,0.0,0.0,0.0,0.0,6.93,0.0,2.85,0.0,0.0,0.0,2.9,2.74,0.0
hsa-miR-652-3p,0.0,4.41,0.0,6.36,3.47,5.52,5.7,0.0,0.0,21.46,2.9,0.0,0.0
hsa-miR-652-5p,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6529-5p,2.45,0.0,0.0,0.0,0.0,0.0,0.0,9.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-653-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31,49.02,75.1,11.6,16.46,0.0
hsa-miR-653-5p,2.45,0.0,0.0,0.0,0.0,0.0,0.0,14.63,28.38,109.96,26.09,2.74,0.0
hsa-miR-654-3p,70.93,57.27,47.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.29,24.7,7.97
hsa-miR-654-5p,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-655-3p,90.5,39.65,36.99,0.0,0.0,2.76,0.0,0.0,0.0,0.0,26.09,16.46,31.9
hsa-miR-655-5p,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-656-3p,17.12,35.24,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97
hsa-miR-658,0.0,0.0,0.0,0.0,3.47,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0
hsa-miR-659-3p,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-659-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0
hsa-miR-660-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0
