miRNA,ERR3559065,ERR3559066
hsa-miR-204-3p,2.0,13.0
hsa-miR-204-5p,136.0,62.0
hsa-miR-205-5p,164.0,134.0
hsa-miR-206,528.0,162.0
hsa-miR-208a-3p,2.0,12.0
hsa-miR-20a-5p,320.0,191.0
hsa-miR-20b-5p,0.0,19.0
hsa-miR-21-3p,229.0,58.0
hsa-miR-21-5p,3987.0,2589.0
hsa-miR-210-3p,1.0,4.0
hsa-miR-211-5p,2.0,15.0
hsa-miR-2110,1817.0,1041.0
hsa-miR-2115-3p,2.0,13.0
hsa-miR-2116-3p,7.0,37.0
hsa-miR-212-5p,19.0,13.0
hsa-miR-214-3p,102.0,34.0
hsa-miR-215-5p,1779.0,643.0
hsa-miR-216b-5p,1.0,11.0
hsa-miR-217-5p,3.0,0.0
hsa-miR-218-5p,7.0,0.0
hsa-miR-219a-1-3p,24.0,0.0
hsa-miR-219b-5p,0.0,12.0
hsa-miR-22-3p,74070.0,23821.0
hsa-miR-22-5p,30.0,19.0
hsa-miR-221-3p,1609.0,1542.0
hsa-miR-221-5p,664.0,225.0
hsa-miR-222-3p,5863.0,4123.0
hsa-miR-222-5p,59.0,0.0
hsa-miR-223-3p,1066.0,941.0
hsa-miR-223-5p,155.0,189.0
hsa-miR-224-5p,3053.0,3022.0
hsa-miR-2276-3p,15.0,0.0
hsa-miR-2355-3p,40.0,8.0
hsa-miR-2355-5p,36.0,5.0
hsa-miR-23a-3p,15912.0,6468.0
hsa-miR-23a-5p,22.0,23.0
hsa-miR-23b-3p,1095.0,384.0
hsa-miR-23b-5p,693.0,226.0
hsa-miR-24-1-5p,0.0,4.0
hsa-miR-24-2-5p,0.0,5.0
hsa-miR-24-3p,2992.0,1364.0
hsa-miR-25-3p,60764.0,25968.0
hsa-miR-25-5p,200.0,152.0
hsa-miR-26a-1-3p,106.0,74.0
hsa-miR-26a-2-3p,15.0,0.0
hsa-miR-26a-5p,163067.0,89687.0
hsa-miR-26b-3p,481.0,99.0
hsa-miR-26b-5p,2319.0,1934.0
hsa-miR-27a-3p,2267.0,967.0
hsa-miR-27b-3p,22824.0,7975.0
hsa-miR-27b-5p,3.0,12.0
hsa-miR-28-3p,8784.0,2124.0
hsa-miR-296-3p,3.0,19.0
hsa-miR-296-5p,31.0,23.0
hsa-miR-29a-3p,2392.0,666.0
hsa-miR-29b-1-5p,1.0,18.0
hsa-miR-29b-2-5p,0.0,4.0
hsa-miR-29b-3p,49.0,37.0
hsa-miR-29c-3p,89.0,3.0
hsa-miR-30a-3p,185.0,50.0
hsa-miR-30a-5p,3951.0,1052.0
hsa-miR-30b-5p,1435.0,880.0
hsa-miR-30c-2-3p,1.0,0.0
hsa-miR-30c-5p,23312.0,13892.0
hsa-miR-30d-3p,42.0,3.0
hsa-miR-30d-5p,111175.0,45186.0
hsa-miR-30e-3p,319.0,90.0
hsa-miR-30e-5p,17382.0,7423.0
hsa-miR-31-5p,2.0,2.0
hsa-miR-3120-3p,52.0,9.0
hsa-miR-3127-3p,13.0,10.0
hsa-miR-3127-5p,7.0,48.0
hsa-miR-3130-3p,98.0,17.0
hsa-miR-3136-3p,16.0,0.0
hsa-miR-3140-3p,64.0,0.0
hsa-miR-3140-5p,9.0,0.0
hsa-miR-3143,137.0,4.0
hsa-miR-3145-5p,17.0,0.0
hsa-miR-3149,0.0,1.0
hsa-miR-3150a-5p,2.0,0.0
hsa-miR-3154,0.0,11.0
