miRNA,SRR17622163,SRR17622164,SRR17622165,SRR17622166,SRR17622167,SRR17622168,SRR17622169,SRR17622170,SRR17622171,SRR17622172,SRR17622173,SRR17622174,SRR17622175,SRR17622176,SRR17622177,SRR17622178,SRR17622179,SRR17622180,SRR17622181
hsa-miR-1260b,1.03,0.0,2.22,0.44,3.35,1.12,1.73,1.98,1.12,0.81,1.13,0.0,1.52,0.13,0.0,0.0,0.0,0.42,1.76
hsa-miR-1262,0.26,0.0,0.0,0.0,0.17,0.37,0.31,0.0,0.56,0.16,0.9,0.0,0.87,0.0,0.0,0.0,0.34,0.42,0.0
hsa-miR-1263,0.0,0.0,0.0,0.0,1.01,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.22,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-1265,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.74,3.32,0.84,1.5,0.63,0.0,3.53,0.16,0.45,0.0,3.25,0.13,0.0,2.66,2.07,1.48,0.35
hsa-miR-1268b,0.51,0.0,0.99,0.0,3.52,9.19,4.72,0.57,0.0,2.1,0.23,2.02,0.65,0.0,0.89,0.89,0.0,0.85,2.99
hsa-miR-1269a,0.26,0.0,0.0,0.0,0.67,0.56,0.94,0.28,3.16,1.29,0.0,0.0,1.52,0.13,0.0,1.18,0.0,0.21,0.0
hsa-miR-1269b,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0
hsa-miR-127-3p,177.43,170.34,385.15,137.95,223.64,210.56,133.14,131.91,222.3,251.93,177.37,62.41,111.22,160.82,96.61,85.46,257.35,48.51,146.22
hsa-miR-127-5p,1.8,2.48,5.91,1.99,2.18,3.75,2.36,2.55,3.9,2.42,1.35,1.44,2.38,3.09,0.0,1.18,3.45,0.21,2.64
hsa-miR-1270,3.34,0.0,1.48,0.44,0.34,1.69,0.63,0.0,0.37,0.65,0.23,0.0,0.22,0.4,0.0,2.07,0.34,0.64,0.88
hsa-miR-1271-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,7.46,1.24,7.15,4.21,5.19,12.0,5.19,8.78,4.28,7.11,3.61,0.0,2.38,4.03,0.44,2.07,4.83,3.18,3.52
hsa-miR-1273c,0.26,1.24,0.74,0.44,0.17,0.19,0.0,0.0,0.56,0.48,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-3p,0.26,1.24,0.0,0.22,0.17,0.0,0.16,0.0,0.0,0.48,0.0,0.0,0.43,0.0,0.0,1.77,0.0,0.0,0.35
hsa-miR-1273h-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.44,0.3,0.0,0.0,0.0
hsa-miR-1275,0.51,0.0,0.74,0.22,0.0,0.19,0.16,0.0,0.0,0.16,0.0,0.0,0.87,0.27,1.77,1.48,1.03,0.0,0.0
hsa-miR-1276,0.0,0.0,0.0,0.22,0.34,0.0,0.16,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0
hsa-miR-1277-3p,2.31,0.41,0.74,1.99,1.17,0.56,2.05,0.0,2.04,0.65,1.58,0.0,0.65,0.54,0.0,0.0,2.76,0.0,0.7
hsa-miR-1278,3.86,1.24,1.48,0.0,2.01,1.31,2.83,1.7,1.86,1.78,0.45,0.0,0.43,0.4,0.0,0.0,1.38,0.42,1.94
hsa-miR-128-1-5p,0.0,0.0,0.0,0.0,0.17,0.37,0.31,0.0,0.0,0.32,0.23,0.0,0.0,0.13,0.0,0.89,0.34,0.0,0.0
hsa-miR-128-3p,294.42,238.15,360.51,382.18,406.08,351.75,160.06,426.31,279.74,116.28,132.3,117.6,393.28,40.27,97.5,340.96,212.16,243.63,253.03
hsa-miR-1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1284,0.0,0.0,0.74,0.66,0.17,0.37,0.0,0.28,0.0,0.0,0.45,0.0,0.22,0.0,2.66,0.0,0.34,0.21,0.0
hsa-miR-1285-3p,9.26,1.65,1.48,3.1,1.51,1.87,3.62,3.96,0.74,0.16,1.13,0.0,2.6,0.13,1.77,2.66,1.72,1.48,2.64
hsa-miR-1285-5p,0.0,0.0,0.0,0.22,0.34,0.19,0.63,0.28,0.19,0.0,0.0,0.0,0.22,0.13,0.0,0.0,0.34,0.21,0.35
hsa-miR-1287-3p,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,4.89,0.83,6.41,2.44,2.35,5.62,1.57,2.55,3.35,3.88,1.35,0.0,0.65,2.01,1.33,0.3,5.52,0.64,1.41
hsa-miR-1288-3p,0.26,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
hsa-miR-1289,0.26,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
hsa-miR-129-1-3p,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,2.83,2.07,4.44,7.53,29.15,28.12,19.36,11.04,16.91,1.78,1.8,5.2,9.76,0.81,1.77,8.58,4.48,4.24,1.06
hsa-miR-1291,1.29,0.0,0.74,0.44,1.01,1.69,0.63,0.57,1.49,0.97,0.0,0.29,1.52,0.67,0.0,0.0,3.45,0.64,0.35
hsa-miR-1292-5p,1.54,0.83,2.71,0.0,1.68,1.69,0.31,0.57,0.19,0.65,0.9,0.87,0.87,0.13,0.0,1.77,0.69,0.64,0.53
hsa-miR-1293,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1294,1.54,0.0,1.23,0.0,1.17,0.19,0.94,0.57,1.12,0.16,0.0,0.0,3.25,0.0,2.22,0.89,0.0,0.0,1.23
hsa-miR-1295a,0.0,0.0,0.49,0.22,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-3p,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,2.83,0.41,2.22,0.44,2.35,6.0,5.35,3.4,4.28,1.13,1.35,1.16,3.04,2.01,0.0,0.0,2.07,0.21,1.94
