miRNA,SRR27277256,SRR27277257,SRR27277258,SRR27277259,SRR27277260,SRR27277261,SRR27277262,SRR27277263
hsa-miR-1908-5p,0.0,0.0,17.26,4.2,11.52,0.0,6.77,29.98
hsa-miR-190a-3p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
hsa-miR-190a-5p,0.0,0.0,1.44,0.3,0.0,2.38,0.0,0.0
hsa-miR-190b-5p,0.0,0.0,0.0,0.3,0.0,82.66,0.0,0.36
hsa-miR-191-3p,0.0,30.36,8.63,2.4,0.0,0.0,2.26,1.81
hsa-miR-191-5p,7.76,199.03,986.8,1599.01,134.18,632.77,4092.97,3718.27
hsa-miR-192-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0
hsa-miR-192-5p,2.59,64.09,479.01,131.8,35.24,231.35,356.7,192.54
hsa-miR-193a-3p,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
hsa-miR-193a-5p,2.59,28.67,12.95,36.03,0.0,29.45,46.28,14.09
hsa-miR-193b-3p,0.0,0.0,7.19,0.6,4.74,0.0,0.75,0.0
hsa-miR-193b-5p,0.0,0.0,0.0,2.4,0.0,58.91,0.75,0.0
hsa-miR-194-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.51,2.17
hsa-miR-194-5p,0.0,124.81,47.47,21.02,18.98,80.28,32.36,22.4
hsa-miR-195-3p,2.59,0.0,57.54,3.0,0.0,5.23,1.13,1.44
hsa-miR-195-5p,0.0,48.91,15.82,2.7,0.0,31.35,3.39,2.89
hsa-miR-196a-5p,0.0,0.0,0.0,3.6,0.0,0.48,1.51,0.0
hsa-miR-196b-5p,1.29,1.69,8.63,1.8,2.71,0.48,3.01,3.97
hsa-miR-197-3p,0.0,0.0,18.7,18.91,2.03,0.48,15.05,18.06
hsa-miR-1976,0.0,0.0,0.0,0.0,0.0,0.0,3.39,1.44
hsa-miR-199a-3p,5.18,183.85,155.36,48.64,133.5,181.47,509.08,313.92
hsa-miR-199a-5p,1.29,295.17,107.89,42.03,37.95,333.96,67.35,121.38
hsa-miR-199b-3p,25.88,229.39,31.65,224.27,17.62,651.77,337.13,248.17
hsa-miR-199b-5p,2.59,249.63,2.88,3.3,54.21,506.4,2.63,7.59
hsa-miR-19a-3p,0.0,0.0,4.32,0.6,0.0,1.9,2.26,2.89
hsa-miR-19b-3p,0.0,38.79,15.82,0.9,0.0,83.61,4.89,6.14
hsa-miR-200a-3p,0.0,6.75,27.33,11.71,48.79,36.58,1.88,0.36
hsa-miR-200a-5p,1.29,0.0,4.32,9.91,3.39,18.05,1.13,1.44
hsa-miR-200b-3p,0.0,59.03,10.07,36.03,21.01,94.06,7.15,14.45
hsa-miR-200b-5p,6.47,0.0,1.44,7.21,0.0,1.9,0.0,1.44
hsa-miR-200c-3p,3.88,458.77,35.96,127.3,31.85,104.51,51.92,51.66
hsa-miR-202-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
hsa-miR-203a-3p,0.0,55.66,198.51,139.61,17.62,22.8,3.76,15.89
hsa-miR-203a-5p,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
