miRNA,SRR11413935,SRR11413936,SRR11413937,SRR11413938,SRR11413939,SRR11413940,SRR11413941,SRR11413942,SRR11413943,SRR11413944
hsa-miR-4508,5.86,7.12,6.92,15.92,20.43,40.02,160.6,73.19,111.02,96.06
hsa-miR-450a-1-3p,0.0,0.12,0.49,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-450a-2-3p,0.37,2.58,1.94,1.07,1.05,0.98,1.33,0.0,0.0,0.99
hsa-miR-450a-5p,0.61,4.17,13.11,6.62,4.61,10.04,3.44,0.12,2.69,6.32
hsa-miR-450b-5p,0.12,5.28,15.54,12.39,1.68,2.82,0.0,0.0,0.0,1.98
hsa-miR-4511,0.12,0.25,0.24,0.0,0.42,1.35,2.11,0.0,0.12,1.49
hsa-miR-4516,0.0,0.12,2.67,0.0,5.45,0.37,0.78,0.23,0.37,0.0
hsa-miR-451a,3977.95,137.03,7693.96,2662.79,368.75,1861.26,112722.97,16152.83,2716.45,4001.73
hsa-miR-452-3p,0.0,0.25,1.21,2.99,1.15,0.37,0.0,0.0,0.0,0.0
hsa-miR-452-5p,2.56,5.53,15.66,12.5,15.19,2.2,1.33,9.0,10.88,0.12
hsa-miR-4521,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0
hsa-miR-4525,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.98,0.0
hsa-miR-4526,0.0,0.0,0.24,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4529-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
hsa-miR-4530,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-4533,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-454-3p,0.24,0.61,1.09,0.0,0.52,0.0,0.33,0.0,0.0,0.0
hsa-miR-454-5p,0.37,0.98,0.24,6.73,0.52,0.0,0.0,0.0,0.0,0.0
hsa-miR-455-3p,0.12,0.0,0.24,0.11,2.93,0.0,0.11,0.0,0.0,0.0
hsa-miR-455-5p,0.37,0.25,3.4,21.05,13.41,1.1,0.22,0.0,0.0,2.97
hsa-miR-4635,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.87
hsa-miR-4637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12
hsa-miR-4638-3p,0.0,0.12,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.12
hsa-miR-4638-5p,0.24,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87
hsa-miR-4639-5p,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4642,0.0,0.0,0.49,0.0,0.0,0.0,0.33,0.0,0.0,0.0
hsa-miR-4645-3p,0.0,0.12,0.12,4.91,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4646-3p,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0
hsa-miR-4647,0.0,0.0,0.61,1.71,0.42,5.75,3.88,32.44,9.05,3.72
hsa-miR-4649-5p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4654,0.24,0.0,0.0,0.0,0.31,1.1,0.0,0.0,1.96,0.0
hsa-miR-4655-5p,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4658,0.0,0.25,0.0,0.0,0.1,0.12,0.0,0.0,0.0,0.0
hsa-miR-4659a-3p,0.12,0.61,0.0,0.0,0.1,0.37,0.44,0.0,0.0,0.62
hsa-miR-4659b-3p,0.0,0.25,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.5
hsa-miR-4659b-5p,0.24,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4660,0.12,0.12,0.0,4.59,1.89,0.24,0.44,0.0,0.0,0.0
hsa-miR-4661-5p,0.12,0.25,7.16,2.14,1.47,0.24,1.78,0.0,0.0,2.6
hsa-miR-4662a-5p,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4664-3p,0.12,0.25,9.71,0.96,1.89,1.35,3.0,1.15,6.6,0.99
hsa-miR-4665-5p,1.34,1.11,1.58,2.67,1.15,1.96,2.33,4.5,15.89,0.12
hsa-miR-4667-5p,0.0,0.0,0.0,0.0,0.1,0.12,0.55,0.0,0.0,0.0
hsa-miR-4668-5p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0
hsa-miR-4669,0.0,0.0,0.0,0.0,4.09,0.0,0.0,9.35,1.71,4.46
hsa-miR-4670-3p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0
hsa-miR-4674,0.24,0.0,0.12,0.0,0.42,0.12,0.0,0.0,0.0,0.0
hsa-miR-4676-3p,0.12,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0
hsa-miR-4676-5p,0.0,0.0,0.0,0.0,0.21,0.0,0.22,0.0,0.37,0.0
hsa-miR-4677-3p,0.12,0.49,4.49,2.24,1.68,0.86,1.44,0.12,3.42,0.99
hsa-miR-4677-5p,0.0,0.25,0.12,1.6,0.1,0.0,0.0,0.0,0.0,0.87
hsa-miR-4681,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0
hsa-miR-4683,0.0,0.25,0.36,0.0,0.52,0.49,0.0,0.0,0.0,0.37
hsa-miR-4684-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4685-3p,0.12,0.12,0.24,0.0,0.42,1.1,3.44,0.0,3.06,1.24
hsa-miR-4686,0.24,0.0,9.83,0.11,18.75,0.37,1.22,0.0,2.32,0.0
hsa-miR-4687-3p,0.0,0.0,0.12,0.0,0.1,0.0,0.0,0.0,0.73,0.0
hsa-miR-4688,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-4689,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4690-3p,0.0,0.37,0.36,0.0,0.1,0.0,1.44,0.0,0.0,0.0
hsa-miR-4695-3p,0.0,0.0,0.0,0.0,0.1,0.0,1.11,0.0,0.0,0.0
hsa-miR-4697-5p,0.0,0.25,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0
hsa-miR-4699-3p,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0
