miRNA,GSM2837756,GSM2837757,GSM2837760,GSM2837761,GSM2837764,GSM2837765,GSM2837768,GSM2837769,GSM2837772,GSM2837773,GSM2837776,GSM2837777
hsa-miR-133a-3p,0.0,1.89,0.0,0.0,1.39,9.05,5.67,0.0,0.0,0.0,0.0,2.53
hsa-miR-134-3p,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,0.17,0.0,0.0,0.0,2.78,9.05,7.94,13.64,0.0,0.0,6.77,1.69
hsa-miR-1343-3p,0.17,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1343-5p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-5p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135b-3p,0.46,0.47,0.33,1.18,1.39,0.0,0.0,0.0,0.0,0.0,2.71,0.0
hsa-miR-135b-5p,14.72,10.85,7.37,4.14,6.94,42.25,5.67,9.1,0.0,3.6,12.18,11.39
hsa-miR-136-3p,0.68,2.36,0.16,1.18,33.3,78.47,32.88,45.48,24.76,8.99,23.0,16.02
hsa-miR-136-5p,0.17,0.47,0.0,0.0,16.65,30.18,7.94,34.11,0.0,0.0,10.83,11.39
hsa-miR-137-3p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-1-3p,1.48,16.04,1.23,19.54,2.78,6.04,0.0,9.1,0.0,0.0,0.0,0.42
hsa-miR-138-5p,109.04,75.96,68.65,135.58,15.26,33.2,19.27,25.01,49.52,5.4,10.83,2.53
hsa-miR-139-5p,0.57,0.94,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.84
hsa-miR-140-3p,59.63,63.22,27.61,44.99,47.18,175.05,134.92,172.83,74.27,14.39,156.97,61.99
hsa-miR-140-5p,0.86,1.42,0.82,1.18,0.0,12.07,1.13,2.27,0.0,0.0,4.06,0.42
hsa-miR-141-3p,1653.55,2169.37,1563.92,2346.24,2087.02,4862.21,1197.23,2985.81,1856.85,1095.21,3273.45,2941.33
hsa-miR-141-5p,26.42,91.53,22.86,63.35,24.98,36.22,24.94,54.58,24.76,5.4,18.95,30.78
hsa-miR-142-3p,0.0,2.36,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.84
hsa-miR-142-5p,1.03,64.17,0.16,7.1,4.16,48.29,3.4,18.19,0.0,1.8,12.18,13.92
hsa-miR-143-3p,326.83,647.32,162.45,432.78,5510.35,12166.08,2920.52,3852.22,1361.69,390.25,4388.51,1140.69
hsa-miR-143-5p,0.06,0.0,0.0,0.0,5.55,6.04,0.0,2.27,0.0,0.0,0.0,0.42
