miRNA,ERR10658906,ERR10658907,ERR10658908,ERR10658909,ERR10658910,ERR10658911
hsa-miR-3065-5p,0.1,4.44,5.68,0.0,0.0,0.0
hsa-miR-3074-5p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-30a-3p,27.09,99.52,101.71,80.53,42.88,61.65
hsa-miR-30a-5p,483.99,2559.7,2741.58,2322.82,825.03,1110.04
hsa-miR-30b-5p,0.0,1.48,3.72,0.0,0.79,4.26
hsa-miR-30c-1-3p,0.0,0.0,0.0,0.0,0.0,5.01
hsa-miR-30c-2-3p,7.77,23.67,59.38,48.02,26.2,14.29
hsa-miR-30c-5p,26.77,111.78,124.64,133.72,11.91,49.37
hsa-miR-30d-3p,2.73,0.0,0.0,0.0,0.0,0.0
hsa-miR-30d-5p,65.51,430.84,471.1,358.32,84.96,173.94
hsa-miR-30e-3p,0.0,7.4,7.64,0.74,0.79,4.26
hsa-miR-30e-5p,21.21,152.77,133.26,111.56,163.58,112.78
hsa-miR-31-3p,4.09,9.72,2.35,0.0,0.0,0.0
hsa-miR-31-5p,264.15,891.48,892.04,783.14,182.63,205.02
hsa-miR-3117-3p,0.0,2.75,0.0,0.0,0.0,6.52
hsa-miR-3130-5p,0.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-3131,0.0,0.63,0.0,0.0,0.0,0.0
hsa-miR-3145-3p,0.0,1.48,0.0,0.0,0.0,0.0
hsa-miR-3162-5p,0.0,0.0,0.0,0.0,0.0,3.76
hsa-miR-3167,0.0,2.32,0.0,0.0,0.0,0.0
hsa-miR-3174,0.0,0.0,0.39,0.0,0.0,0.0
hsa-miR-3176,0.0,0.0,0.0,0.74,0.0,0.0
hsa-miR-3177-3p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-3178,0.0,0.21,0.0,0.0,0.0,0.0
hsa-miR-3180-3p,0.0,0.21,0.0,0.74,0.0,0.25
hsa-miR-3182,1.99,0.0,0.2,0.0,0.0,0.0
hsa-miR-3187-3p,2.73,1.27,0.0,0.74,0.79,0.0
hsa-miR-3188,0.0,0.0,0.0,0.0,0.79,0.0
hsa-miR-3192-5p,0.0,0.0,0.0,0.74,0.0,0.0
hsa-miR-3195,0.0,0.85,5.88,0.0,0.0,5.01
hsa-miR-32-3p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-32-5p,0.31,0.21,0.0,0.74,0.0,0.25
hsa-miR-3200-3p,2.1,4.65,8.62,0.0,0.0,0.0
