miRNA,SRR10029319,SRR10029320,SRR10029321,SRR10029322,SRR10029323
hsa-miR-339-5p,1.11,0.17,0.0,8.53,1.35
hsa-miR-340-3p,0.0,0.0,0.0,0.57,0.68
hsa-miR-340-5p,0.0,0.0,0.0,1.71,2.71
hsa-miR-342-3p,2.78,1.17,3.23,10.8,4.06
hsa-miR-342-5p,0.0,0.17,0.0,0.57,10.15
hsa-miR-345-5p,0.0,0.0,0.0,0.57,0.0
hsa-miR-34a-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-34b-3p,0.0,0.0,0.0,1.71,0.68
hsa-miR-34c-5p,0.28,0.17,0.0,4.55,1.35
hsa-miR-3605-3p,0.0,0.34,0.0,0.0,0.0
hsa-miR-3605-5p,0.28,0.34,0.0,0.0,0.0
hsa-miR-361-3p,13.34,5.2,3.23,14.78,16.24
hsa-miR-361-5p,0.28,0.0,0.0,8.53,2.03
hsa-miR-3615,6.11,3.52,0.0,0.0,0.0
hsa-miR-3622a-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-3648,0.56,0.84,0.0,0.57,0.0
hsa-miR-365a-3p,0.56,0.0,0.0,0.0,2.03
hsa-miR-365a-5p,0.83,0.17,0.0,0.0,0.68
hsa-miR-365b-3p,0.56,0.0,0.0,1.14,3.38
hsa-miR-365b-5p,0.56,0.5,0.0,2.27,1.35
hsa-miR-3665,0.56,0.0,0.0,0.0,0.0
hsa-miR-3679-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-369-5p,0.56,0.0,0.0,0.0,0.0
hsa-miR-3691-5p,0.0,0.0,1.62,0.0,0.0
hsa-miR-370-3p,48.9,7.38,4.85,6.82,0.68
hsa-miR-370-5p,0.28,0.0,0.0,0.57,0.0
hsa-miR-374b-5p,0.0,0.0,0.0,2.84,1.35
hsa-miR-375-3p,0.83,0.0,0.0,0.0,0.0
hsa-miR-376a-3p,0.56,0.0,1.62,0.0,0.0
hsa-miR-376b-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-376c-3p,0.0,0.0,0.0,1.71,0.0
hsa-miR-377-5p,0.28,0.0,0.0,0.57,0.0
hsa-miR-378a-3p,18.06,4.36,14.55,109.75,55.47
hsa-miR-378a-5p,0.0,0.0,0.0,0.57,2.71
hsa-miR-378c,0.0,0.5,1.62,7.96,4.74
hsa-miR-378d,0.0,0.0,0.0,0.57,0.0
hsa-miR-378i,0.0,0.0,0.0,0.0,0.68
hsa-miR-379-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-379-5p,6.39,1.51,0.0,3.41,5.41
hsa-miR-380-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-381-3p,68.35,9.73,9.7,30.71,4.74
hsa-miR-382-3p,1.67,0.0,1.62,1.71,0.0
hsa-miR-382-5p,19.73,5.37,6.47,4.55,3.38
