miRNA,SRR17646531,SRR17646532,SRR17646533,SRR17646534,SRR17646535,SRR17646536,SRR17646537,SRR17646538,SRR17646539,SRR17646540,SRR17646541,SRR17646542,SRR17646543,SRR17646544,SRR17646545,SRR17646546,SRR17646547,SRR17646548,SRR17646549,SRR17646550,SRR17646551,SRR17646552,SRR17646553,SRR17646554,SRR17646555,SRR17646556,SRR17646557,SRR17646558,SRR17646559,SRR17646560,SRR17646561,SRR17646562,SRR17646563,SRR17646564,SRR17646565
hsa-miR-150-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0
hsa-miR-150-5p,153.44,24.88,68.96,73.93,94.0,108.73,122.24,87.0,85.58,96.63,144.68,408.13,278.22,200.97,594.95,428.22,69.63,54.56,312.47,96.46,0.0,223.74,221.2,166.85,32.18,29.04,368.01,139.21,216.98,87.33,333.52,195.15,152.4,445.24,74.87
hsa-miR-151a-3p,24.05,3.39,9.35,8.21,2.41,1.47,1.63,9.0,0.0,29.36,6.7,21.55,12.39,2.38,8.0,6.79,2.49,0.97,0.96,1.04,77.64,6.05,4.0,2.79,0.0,4.3,12.66,3.57,17.08,4.26,7.65,4.26,3.01,4.09,1.1
hsa-miR-152-3p,375.58,55.41,19.87,170.87,49.41,113.14,135.28,16.0,282.17,154.12,79.04,99.67,109.57,149.84,177.42,176.45,26.11,56.51,103.83,84.01,104.06,65.51,258.23,164.05,224.25,0.0,274.87,124.93,356.6,24.5,110.85,113.08,156.41,80.86,129.92
hsa-miR-155-5p,2.29,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,1.34,28.29,0.0,10.7,4.0,0.68,0.0,0.0,0.96,0.0,2.4,0.0,0.0,0.7,0.0,0.0,0.0,0.0,2.01,0.0,0.96,0.0,0.0,0.0,0.0
hsa-miR-15a-3p,0.0,0.0,0.0,0.0,8.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-5p,212.98,31.66,22.21,57.5,1.21,0.0,42.38,57.0,172.86,18.35,77.7,142.78,79.08,34.49,70.7,138.44,67.14,54.56,82.68,1.04,127.27,108.85,132.12,22.34,0.0,0.0,46.11,62.47,43.19,126.74,96.52,128.28,108.28,140.23,85.88
hsa-miR-15b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.8,0.0,1.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15b-5p,0.0,0.0,0.0,0.0,0.0,0.0,27.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,31.54,0.0,0.0,0.0,0.0
hsa-miR-16-5p,20811.36,6020.69,4495.02,14078.33,6796.63,3786.41,8103.61,3571.84,20083.92,3125.17,11176.2,11791.22,11500.34,12034.57,20386.9,17240.81,3017.53,5213.3,7304.98,5051.02,9509.51,17191.53,22083.5,10514.75,13422.04,6059.19,71533.13,11669.69,18373.63,8585.39,22460.47,12077.96,13883.18,18178.21,10411.29
hsa-miR-17-5p,2.29,0.0,3.51,1.64,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,4.0,0.0,0.0,0.0,1.04,0.0,0.9,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0
hsa-miR-181a-2-3p,0.0,5.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-5p,0.0,0.0,28.05,1.64,1.21,4.41,0.0,2.0,0.85,2.45,1.34,4.04,0.95,8.32,0.0,0.68,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,3.62,6.25,1.0,3.2,0.0,0.61,0.0,2.05,0.0
hsa-miR-181b-5p,191.22,52.02,37.4,264.51,243.43,0.0,120.61,219.99,170.32,22.02,389.82,528.01,244.87,398.38,358.84,168.3,88.28,23.38,269.2,104.75,357.01,185.44,52.05,215.71,65.41,132.31,256.79,257.01,129.58,116.09,192.08,199.4,102.27,264.08,224.61
