miRNA,SRR16297783,SRR16297784,SRR16297785,SRR16297786,SRR16297787,SRR16297788,SRR16297789,SRR16297790,SRR16297791,SRR16297792,SRR16297793,SRR16297794,SRR16297795,SRR16297796,SRR16297797,SRR16297798,SRR16297799,SRR16297800,SRR16297801,SRR16297802,SRR16297803
hsa-miR-1260b,49.0,129.0,132.0,259.0,67.0,154.0,108.0,35.0,112.0,125.0,44.0,80.0,183.0,26.0,158.0,150.0,170.0,135.0,23.0,564.0,262.0
hsa-miR-1262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0
hsa-miR-1264,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0
hsa-miR-1266-5p,0.0,1.0,3.0,7.0,0.0,0.0,15.0,13.0,0.0,0.0,9.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1267,0.0,0.0,9.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,524.0,244.0,1.0,158.0,756.0,24.0,246.0,13.0,45.0,11.0,174.0,0.0,0.0,1.0,235.0,57.0,84.0,20.0,158.0,3.0
hsa-miR-1268b,76.0,53.0,28.0,233.0,6.0,27.0,17.0,12.0,597.0,498.0,340.0,7.0,110.0,137.0,187.0,1.0,10.0,12.0,1.0,6.0,322.0
hsa-miR-1269a,0.0,0.0,0.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-1269b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,1125.0,2857.0,7505.0,2890.0,9451.0,8293.0,663.0,1416.0,1757.0,955.0,676.0,1046.0,2953.0,958.0,3745.0,3744.0,3515.0,1455.0,327.0,2370.0,4015.0
hsa-miR-127-5p,37.0,159.0,368.0,115.0,538.0,186.0,13.0,57.0,38.0,40.0,22.0,13.0,113.0,35.0,132.0,49.0,214.0,211.0,60.0,189.0,350.0
hsa-miR-1270,106.0,55.0,217.0,21.0,90.0,38.0,35.0,157.0,88.0,116.0,102.0,85.0,80.0,13.0,50.0,55.0,75.0,0.0,19.0,195.0,40.0
hsa-miR-1271-3p,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,274.0,833.0,847.0,601.0,701.0,209.0,72.0,288.0,298.0,72.0,246.0,334.0,534.0,53.0,176.0,234.0,242.0,314.0,127.0,1096.0,535.0
hsa-miR-1273c,27.0,45.0,74.0,79.0,102.0,118.0,26.0,58.0,49.0,28.0,39.0,29.0,46.0,7.0,56.0,83.0,96.0,60.0,12.0,100.0,94.0
hsa-miR-1273h-3p,73.0,250.0,416.0,284.0,291.0,504.0,14.0,90.0,71.0,140.0,67.0,144.0,281.0,111.0,220.0,475.0,337.0,148.0,22.0,743.0,253.0
hsa-miR-1273h-5p,53.0,340.0,417.0,176.0,212.0,199.0,0.0,72.0,60.0,164.0,77.0,114.0,226.0,83.0,227.0,211.0,160.0,117.0,27.0,376.0,228.0
hsa-miR-1275,7.0,32.0,14.0,4.0,12.0,39.0,8.0,17.0,26.0,71.0,21.0,50.0,2.0,8.0,1.0,0.0,11.0,1.0,2.0,4.0,7.0
hsa-miR-1276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
hsa-miR-1277-3p,202.0,283.0,310.0,286.0,427.0,121.0,210.0,171.0,141.0,147.0,225.0,182.0,150.0,85.0,143.0,125.0,317.0,317.0,96.0,966.0,146.0
