miRNA,GSM2208752,GSM2208753,GSM2208754,GSM2208755,GSM2208756
hsa-miR-323a-3p,0.0,0.12,0.08,0.35,0.0
hsa-miR-324-3p,0.0,0.0,0.0,0.18,0.0
hsa-miR-324-5p,0.33,0.2,0.49,0.0,0.0
hsa-miR-326,0.0,0.0,0.04,0.0,0.0
hsa-miR-328-3p,2.14,2.55,2.93,2.26,0.36
hsa-miR-329-3p,0.0,0.04,0.04,0.0,0.0
hsa-miR-330-3p,4.17,2.39,3.58,2.73,1.44
hsa-miR-330-5p,4.24,4.12,8.43,4.99,0.72
hsa-miR-331-3p,0.77,1.18,1.06,1.44,0.0
hsa-miR-331-5p,3.17,2.04,3.09,3.67,1.64
hsa-miR-335-3p,2.21,0.24,0.81,0.03,2.35
hsa-miR-335-5p,0.41,0.16,0.41,0.76,0.0
hsa-miR-338-3p,0.11,0.31,0.16,0.06,0.0
hsa-miR-338-5p,1.77,0.94,0.57,0.0,0.0
hsa-miR-339-3p,19.07,22.38,45.59,19.12,10.76
hsa-miR-339-5p,14.24,17.9,22.92,14.13,3.43
hsa-miR-33a-3p,1.62,0.12,0.69,1.88,0.72
hsa-miR-33a-5p,0.04,0.24,0.37,0.15,0.0
hsa-miR-33b-3p,0.18,0.04,0.0,0.0,0.0
hsa-miR-33b-5p,0.26,0.2,0.12,0.21,0.0
hsa-miR-340-3p,2.91,2.63,3.05,0.91,1.41
hsa-miR-340-5p,10.48,5.77,9.08,5.85,0.95
hsa-miR-342-3p,71.79,44.59,81.66,41.04,29.89
hsa-miR-342-5p,14.76,14.6,18.85,18.01,18.51
hsa-miR-345-3p,0.15,0.08,0.0,0.0,0.0
