miRNA,GSM4224386,GSM4224387,GSM4224388,GSM4224389,GSM4224390,GSM4224391,GSM4224392,GSM4224393,GSM4224394
hsa-miR-340-5p,3.72,22.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-342-3p,48.36,83.86,23.21,0.0,0.0,0.0,52.35,18.24,19.03
hsa-miR-342-5p,0.0,0.0,1.29,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-345-5p,14.88,64.51,18.05,0.0,0.0,0.0,23.36,6.08,11.42
hsa-miR-34a-5p,11.16,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3605-5p,3.72,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-3p,0.0,0.0,12.89,0.0,0.0,0.0,19.33,2.03,5.71
hsa-miR-361-5p,14.88,22.58,6.45,0.0,0.0,0.0,3.22,0.0,5.71
hsa-miR-3614-5p,0.0,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3615,3.72,32.25,0.0,0.0,0.0,0.0,0.81,12.16,1.9
hsa-miR-3617-5p,0.0,19.35,0.0,0.0,0.0,0.0,6.44,0.0,0.0
hsa-miR-3619-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0
hsa-miR-362-3p,26.04,19.35,6.45,0.0,0.0,0.0,10.47,0.0,0.0
hsa-miR-363-3p,0.0,16.13,1.29,0.0,0.0,0.0,4.03,0.0,0.0
hsa-miR-3646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71
hsa-miR-3648,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-3654,0.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365a-3p,141.36,16.13,1.29,0.0,0.0,0.0,4.83,0.0,17.12
hsa-miR-365b-3p,0.0,41.93,21.92,0.0,0.0,0.0,25.77,8.11,0.0
hsa-miR-3665,0.0,0.0,0.0,0.0,118.86,0.0,3.22,0.0,1.9
hsa-miR-3682-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-3690,0.0,0.0,2.58,0.0,0.0,0.0,3.22,0.0,0.0
hsa-miR-374a-5p,7.44,6.45,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-374b-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-375-3p,167.4,541.86,193.39,61.24,0.0,14.24,106.32,156.09,146.51
